[1635773400.0, 504.339246229655],
[1635859800.0, 508.57087499495117],
[1635946200.0, 492.9990105977755],
[1636032600.0, 494.23000839488725],
[1636119000.0, 490.2359014267185],
[1636205400.0, 486.91095741167663],
[1636291800.0, 498.4983032443323],
[1636378200.0, 503.4130725454668],
[1636464600.0, 466.04366348453425],
[1636551000.0, 458.31377537932735],
[1636637400.0, 458.4190930177007],
[1636723800.0, 441.5350799856633],
[1636810200.0, 442.86779159612513],
[1636896600.0, 432.45374779379955],
[1636983000.0, 445.31314965843427],
[1637069400.0, 571.8199999999999],
[1637155800.0, 571.8199999999999],
[1637242200.0, 571.8199999999999],
[1637328600.0, 571.8199999999999],
[1637415000.0, 571.8199999999999],
[1637501400.0, 571.8199999999999],
[1637587800.0, 571.8199999999999],
[1637674200.0, 571.8199999999999],
[1637760600.0, 571.8199999999999],
[1637847000.0, 571.8199999999999],
[1637933400.0, 571.8199999999999],
[1638019800.0, 571.8199999999999],
[1638106200.0, 571.8199999999999],
[1638192600.0, 571.8199999999999],
[1638279000.0, 571.8199999999999],
[1638365400.0, 571.8199999999999],
[1638451800.0, 571.8199999999999],
[1638538200.0, 571.8199999999999],
[1638624600.0, 571.8199999999999],
[1638711000.0, 571.8199999999999],
[1638797400.0, 571.8199999999999],
[1638883800.0, 571.8199999999999],
[1638970200.0, 571.8199999999999],
[1639056600.0, 786.4],
[1639143000.0, 786.4],
[1639229400.0, 786.4],
[1639315800.0, 786.4],
[1639402200.0, 786.4],
[1639488600.0, 786.4],
[1639575000.0, 786.4],
[1639661400.0, 786.4],
[1639747800.0, 786.4],
[1639834200.0, 786.4],
[1639920600.0, 786.4],
[1640007000.0, 786.4],
[1640093400.0, 786.4],
[1640179800.0, 786.4],
[1640266200.0, 786.4],
[1640352600.0, 786.4],
[1640439000.0, 786.4],
[1640525400.0, 786.4],
[1640611800.0, 786.4],
[1640698200.0, 786.4],
[1640784600.0, 786.4],
[1640871000.0, 786.4],
[1640957400.0, 786.4],
[1641043800.0, 786.4],
[1641130200.0, 786.4],
[1641216600.0, 786.4],
[1641303000.0, 786.4],
[1641389400.0, 786.4],
[1641475800.0, 786.4],
[1641562200.0, 786.4],
[1641648600.0, 786.4],
[1641735000.0, 745.799323233554],
[1641821400.0, 734.6059182762274],
[1641907800.0, 719.1474447650397],
[1641994200.0, 663.6074857024121],
[1642080600.0, 710.730925777649],
[1642167000.0, 704.6796375579904],
[1642253400.0, 731.7806617563268],
[1642339800.0, 735.2785414391132],
[1642426200.0, 756.7085031280054],
[1642512600.0, 741.3969396490872],
[1642599000.0, 497.44999999999993],
[1642685400.0, 497.44999999999993],
[1642771800.0, 497.44999999999993],
