[1668519000, 0],
[1668605400, 0.08],
[1668691800, 0.08],
[1668778200, 0.08],
[1668864600, 0.09],
[1668951000, 0.15],
[1669037400, 0.13],
[1669123800, 0.14],
[1669210200, 0.13],
[1669296600, 0.09],
[1669383000, 0.1],
[1669469400, 0.1],
[1669555800, 0.11],
[1669642200, 0.12],
[1669728600, 0.13],
[1669815000, 0.15],
[1669901400, 0.17],
[1669987800, 0.17],
[1670074200, 0.15],
[1670160600, 0.18],
[1670247000, 0.16],
[1670333400, 0.16],
[1670419800, 0.15],
[1670506200, 0.17],
[1670592600, 0.17],
[1670679000, 0.18],
[1670765400, 0.15],
[1670851800, 0.19],
[1670938200, 0.19],
[1671024600, 0.16],
[1671111000, 0.18],
[1671197400, 0.16],
[1671283800, 0.16],
[1671370200, 0.17],
[1671456600, 0.16],
[1671543000, 0.05],
[1671629400, 0.02],
[1671715800, 0.02],
[1671802200, 0.02],
[1671888600, 0.02],
[1671975000, 0.02],
[1672061400, 0.02],
[1672147800, 0.01],
[1672234200, 0.02],
[1672320600, 0.02],
[1672407000, 0.02],
[1672493400, 0.02],
[1672579800, 0.03],
[1672666200, 0.03],
[1672752600, 0.03],
[1672839000, 0.03],
[1672925400, 0.02],
[1673011800, 0.03],
[1673098200, 0.04],
[1673184600, 0.03],
[1673271000, 0.04],
[1673357400, 0.03],
[1673443800, 0.04],
[1673530200, 0.04],
[1673616600, 0.03],
[1673703000, 0.04],
[1673789400, 0.03],
[1673875800, 0.03],
[1673962200, 0.04],
[1674048600, 0.03],
[1674135000, 0.03],
[1674221400, 0.04],
[1674307800, 0.03],
[1674394200, 0.04],
[1674480600, 0.04],
[1674567000, 0.04],
[1674653400, 0.04],
[1674739800, 0.04],
[1674826200, 0.04],
[1674912600, 0.03],
[1674999000, 0.03],
[1675085400, 0.04],
[1675171800, 0.03],
[1675258200, 0.04],
[1675344600, 0.03],
[1675431000, 0.03],
[1675517400, 0.03],
[1675603800, 0.03],
[1675690200, 0.03],
[1675776600, 0.04],
[1675863000, 0.03],
[1675949400, 0.03],
[1676035800, 0.03],
[1676122200, 0.03],
[1676208600, 0.03],
[1676295000, 0.03],
[1676381400, 0.03],
[1676467800, 0.03],
[1676554200, 0.03],
[1676640600, 0.03],
[1676727000, 0.04],
[1676813400, 0.03],
[1676899800, 0.04],
[1677072600, 0.03],
[1677159000, 0.03],
[1677245400, 0.03],
[1677331800, 0.03],
[1677418200, 0.03],
[1677504600, 0.04],
[1677591000, 0.04],
[1677677400, 0.08],
[1677763800, 0.07],
[1677850200, 0.05],
[1677936600, 0.06],
[1678023000, 0.05],
[1678109400, 0.05],
[1678195800, 0.05],
[1678282200, 0.05],
[1678368600, 0.05],
[1678455000, 0.05],
[1678541400, 0.07],
[1678627800, 0.06],
[1678714200, 0.08],
[1678800600, 0.09],
[1678887000, 0.12],
[1678973400, 0.13],
[1679059800, 0.1],
[1679146200, 0.12],
[1679232600, 0.13],
[1679319000, 0.21],
[1679405400, 0.34],
[1679491800, 0.22],
[1679578200, 0.24],
[1679664600, 0.36],
[1679751000, 0.35],
[1679837400, 0.41],
[1679923800, 0.34],
[1680010200, 0.29],
[1680096600, 0.27],
[1680183000, 0.27],
[1680269400, 0.26],
[1680355800, 0.26],
