[1666445400, 1],
[1666531800, 1],
[1666618200, 1],
[1666704600, 1],
[1666791000, 1],
[1666877400, 1],
[1666963800, 0.028],
[1667050200, 0.0256],
[1667136600, 0.0377],
[1667223000, 0.0545],
[1667309400, 0.0537],
[1667395800, 0.0505],
[1667482200, 0.0513],
[1667568600, 0.0873],
[1667655000, 0.0712],
[1667741400, 0.0353],
[1667827800, 0.0272],
[1667914200, 0.0337],
[1668000600, 0.0449],
[1668087000, 0.0601],
[1668173400, 0.0537],
[1668259800, 0.0449],
[1668346200, 0.0377],
[1668432600, 0.0457],
[1668519000, 0.0495],
[1668605400, 0.0561],
[1668691800, 0.0377],
[1668778200, 0.0423],
[1668864600, 0.0511],
[1668951000, 0.0529],
[1669037400, 0.0465],
[1669123800, 0.0497],
[1669210200, 0.0497],
[1669296600, 0.0505],
[1669383000, 0.0553],
[1669469400, 0.0481],
[1669555800, 0.0385],
[1669642200, 0.0377],
[1669728600, 0.0377],
[1669815000, 0.0361],
[1669901400, 0.0409],
[1669987800, 0.0353],
[1670074200, 0.0377],
[1670160600, 0.0353],
[1670247000, 0.0304],
[1670333400, 0.0321],
[1670419800, 0.0321],
[1670506200, 0.0329],
[1670592600, 0.0321],
[1670679000, 0.0304],
[1670765400, 0.0304],
[1670851800, 0.0288],
[1670938200, 0.0385],
[1671024600, 0.0417],
[1671111000, 0.0369],
[1671197400, 0.0385],
[1671283800, 0.0337],
[1671370200, 0.0385],
[1671456600, 0.0473],
[1671543000, 0.0407],
[1671629400, 0.0425],
[1671715800, 0.0353],
[1671802200, 0.0497],
[1671888600, 0.0425],
[1671975000, 0.0433],
[1672061400, 0.0505],
[1672147800, 0.0545],
[1672234200, 0.0473],
[1672320600, 0.0489],
[1672407000, 0.0505],
[1672493400, 0.0465],
[1672579800, 0.0505],
[1672666200, 0.0497],
[1672752600, 0.0537],
[1672839000, 0.0497],
[1672925400, 0.0417],
[1673011800, 0.0417],
[1673098200, 0.0417],
[1673184600, 0.0441],
[1673271000, 0.0457],
[1673357400, 0.0457],
[1673443800, 0.0505],
[1673530200, 0.0505],
[1673616600, 0.0505],
[1673703000, 0.0505],
[1673789400, 0.0505],
[1673875800, 0.0505],
[1673962200, 0.0433],
[1674048600, 0.0505],
[1674135000, 0.0505],
[1674221400, 0.0545],
[1674307800, 0.0545],
[1674394200, 0.0545],
[1674480600, 0.0545],
[1674567000, 0.0545],
[1674653400, 0.0545],
[1674739800, 0.0545],
[1674826200, 0.0545],
[1674912600, 0.0585],
[1674999000, 0.0505],
[1675085400, 0.0505],
[1675171800, 0.0505],
[1675258200, 0.0505],
[1675344600, 0.0505],
[1675431000, 0.0505],
[1675517400, 0.0545],
[1675603800, 0.0505],
[1675690200, 0.0505],
[1675776600, 0.0505],
[1675863000, 0.0505],
[1675949400, 0.0545],
[1676035800, 0.0545],
[1676122200, 0.0465],
[1676208600, 0.0505],
[1676295000, 0.0505],
[1676381400, 0.0505],
[1676467800, 0.0505],
[1676554200, 0.0505],
[1676640600, 0.0465],
[1676727000, 0.0465],
[1676813400, 0.0457],
[1676899800, 0.0505],
[1677072600, 0.0457],
[1677159000, 0.0465],
[1677245400, 0.0465],
[1677331800, 0.0465],
[1677418200, 0.0465],
[1677504600, 0.0457],
[1677591000, 0.0585],
[1677677400, 0.0545],
[1677763800, 0.0545],
[1677850200, 0.0465],
[1677936600, 0.0465],
[1678023000, 0.0505],
[1678109400, 0.0505],
[1678195800, 0.0505],
[1678282200, 0.0465],
[1678368600, 0.0505],
[1678455000, 0.0505],
[1678541400, 0.0545],
[1678627800, 0.0465],
[1678714200, 0.0465],
[1678800600, 0.0585],
[1678887000, 0.0545],
[1678973400, 0.0505],
[1679059800, 0.0505],
[1679146200, 0.0505],
[1679232600, 0.0505],
[1679319000, 0.0545],
[1679405400, 0.0705],
[1679491800, 0.0625],
[1679578200, 0.0585],
[1679664600, 0.0625],
[1679751000, 0.0625],
[1679837400, 0.0625],
[1679923800, 0.0625],
[1680010200, 0.0625],
[1680096600, 0.0625],
[1680183000, 0.0625],
[1680269400, 0.0625],
[1680355800, 0.0625],
