[1636551000.0, 0.08942857142857137],
[1636637400.0, 0.10085714285714281],
[1636723800.0, 0.10114285714285709],
[1636810200.0, 0.10114285714285709],
[1636896600.0, 0.09171428571428564],
[1636983000.0, 0.08714285714285705],
[1637069400.0, 0.08599999999999992],
[1637155800.0, 0.08428571428571421],
[1637242200.0, 0.08314285714285707],
[1637328600.0, 0.08314285714285709],
[1637415000.0, 0.08971428571428562],
[1637501400.0, 0.08542857142857135],
[1637587800.0, 0.0879999999999999],
[1637674200.0, 0.0819999999999999],
[1637760600.0, 0.08342857142857135],
[1637847000.0, 0.08028571428571418],
[1637933400.0, 0.07971428571428563],
[1638019800.0, 0.08228571428571421],
[1638106200.0, 0.0748571428571428],
[1638192600.0, 0.0708571428571428],
[1638279000.0, 0.04028571428571431],
[1638365400.0, 0.03514285714285716],
[1638451800.0, 0.03542857142857145],
[1638538200.0, 0.03685714285714288],
[1638624600.0, 0.03657142857142859],
[1638711000.0, 0.03657142857142859],
[1638797400.0, 0.03657142857142859],
[1638883800.0, 0.03514285714285716],
[1638970200.0, 0.03542857142857145],
[1639056600.0, 0.034571428571428586],
[1639143000.0, 0.03428571428571431],
[1639229400.0, 0.0342857142857143],
[1639315800.0, 0.03400000000000002],
[1639402200.0, 0.03400000000000002],
[1639488600.0, 0.03485714285714288],
[1639575000.0, 0.03485714285714288],
[1639661400.0, 0.03571428571428573],
[1639747800.0, 0.03571428571428573],
[1639834200.0, 0.0362857142857143],
[1639920600.0, 0.03657142857142859],
[1640007000.0, 0.03571428571428574],
[1640093400.0, 0.03485714285714288],
[1640179800.0, 0.03514285714285716],
[1640266200.0, 0.03514285714285716],
[1640352600.0, 0.03514285714285716],
[1640439000.0, 0.0342857142857143],
[1640525400.0, 0.03342857142857145],
[1640611800.0, 0.03314285714285717],
[1640698200.0, 0.03314285714285717],
[1640784600.0, 0.03257142857142859],
[1640871000.0, 0.032285714285714306],
[1640957400.0, 0.032285714285714306],
[1641043800.0, 0.032285714285714306],
[1641130200.0, 0.032285714285714306],
[1641216600.0, 0.032285714285714306],
[1641303000.0, 0.032285714285714306],
[1641389400.0, 0.03285714285714288],
[1641475800.0, 0.03285714285714288],
[1641562200.0, 0.03257142857142859],
[1641648600.0, 0.03257142857142859],
[1641735000.0, 0.03257142857142859],
