[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 0],
[1636032600.0, 0],
[1636119000.0, 0],
[1636205400.0, 0],
[1636291800.0, 0],
[1636378200.0, 0],
[1636464600.0, 0],
[1636551000.0, 0],
[1636637400.0, 0],
[1636723800.0, 0],
[1636810200.0, 0],
[1636896600.0, 0],
[1636983000.0, 0],
[1637069400.0, 0],
[1637155800.0, 0],
[1637242200.0, 0],
[1637328600.0, 0],
[1637415000.0, 0],
[1637501400.0, 0],
[1637587800.0, 0],
[1637674200.0, 0],
[1637760600.0, 0],
[1637847000.0, 0],
[1637933400.0, 0],
[1638019800.0, 0],
[1638106200.0, 0],
[1638192600.0, 0],
[1638279000.0, 0],
[1638365400.0, 0],
[1638451800.0, 0],
[1638538200.0, 0],
[1638624600.0, 0],
[1638711000.0, 0],
[1638797400.0, 0],
[1638883800.0, 0],
[1638970200.0, 0],
[1639056600.0, 0],
[1639143000.0, 0],
[1639229400.0, 0],
[1639315800.0, 0],
[1639402200.0, 0],
[1639488600.0, 0],
[1639575000.0, 0],
[1639661400.0, 0],
[1639747800.0, 0],
[1639834200.0, 0],
[1639920600.0, 0],
[1640007000.0, 0],
[1640093400.0, 0],
[1640179800.0, 0],
[1640266200.0, 0],
[1640352600.0, 0],
[1640439000.0, 0],
[1640525400.0, 0],
[1640611800.0, 0],
[1640698200.0, 0],
[1640784600.0, 0],
[1640871000.0, 0],
[1640957400.0, 0],
[1641043800.0, 0],
[1641130200.0, 0],
[1641216600.0, 0],
[1641303000.0, 0],
[1641389400.0, 0],
[1641475800.0, 0],
[1641562200.0, 0],
[1641648600.0, 0],
[1641735000.0, 0],
[1641821400.0, 0],
[1641907800.0, 0],
[1641994200.0, 0],
[1642080600.0, 0],
[1642167000.0, 0],
[1642253400.0, 0],
[1642339800.0, 0],
[1642426200.0, 0],
[1642512600.0, 0],
[1642599000.0, 0],
[1642685400.0, 0],
[1642771800.0, 104.28927643031568],
[1642858200.0, 107.37185623068038],
[1642944600.0, 101.00164695876401],
[1643031000.0, 82.67225759309972],
[1643117400.0, 79.71845093913048],
[1643203800.0, 76.40394609237538],
[1643290200.0, 154.7207920214907],
[1643376600.0, 80.92379716772656],
[1643463000.0, 95.7204091],
[1643549400.0, 93.9459602],
[1643635800.0, 93.9459602],
[1643722200.0, 93.9459602],
[1643808600.0, 85.73984715],
[1643895000.0, 80.9391268],
[1643981400.0, 76.3038886],
[1644067800.0, 75.96142],
[1644154200.0, 75.4524222],
[1644240600.0, 67.41216370000001],
[1644327000.0, 61.7496493],
[1644413400.0, 61.408549900000004],
[1644499800.0, 61.48163485],
[1644586200.0, 59.51995105],
[1644672600.0, 59.415529899999996],
[1644759000.0, 57.082415250000004],
[1644845400.0, 55.89770015],
[1644931800.0, 57.31347615],
[1645018200.0, 55.613231250000005],
[1645104600.0, 56.20467885000001],
[1645191000.0, 55.52950345000001],
[1645277400.0, 54.86172859999999],
[1645363800.0, 56.08578925],
[1645450200.0, 55.74594345],
[1645536600.0, 55.96755535],
[1645623000.0, 54.85516595],
[1645709400.0, 54.0735035],
[1645795800.0, 54.67381385],
[1645882200.0, 54.15172814999999],
[1645968600.0, 54.630993499999995],
[1646055000.0, 54.35071275],
[1646141400.0, 53.7150444],
[1646227800.0, 53.9565504],
[1646314200.0, 54.24497149999999],
[1646400600.0, 54.711005799999995],
[1646487000.0, 55.685306800000006],
[1646573400.0, 56.431227800000016],
[1646659800.0, 56.358787750000005],
[1646746200.0, 55.624353400000004],
[1646832600.0, 55.058650500000006],
[1646919000.0, 54.78166805],
[1647005400.0, 54.419830700000006],
[1647091800.0, 54.335962650000006],
[1647178200.0, 53.60458499999999],
[1647264600.0, 53.7469252],
[1647351000.0, 52.81878065000001],
[1647437400.0, 52.95592514999999],
[1647523800.0, 52.853352300000005],
[1647610200.0, 52.5365851],
[1647696600.0, 51.9023002],
[1647783000.0, 51.77840435],
[1647869400.0, 52.2627422],
[1647955800.0, 52.090459800000005],
[1648042200.0, 51.17430995],
[1648128600.0, 51.064761700000005],
[1648215000.0, 50.855191850000004],
[1648301400.0, 50.06803565],
[1648387800.0, 48.911263950000006],
[1648474200.0, 47.23296735],
[1648560600.0, 46.16828425],
[1648647000.0, 45.002377550000006],
[1648733400.0, 45.9137775],
