[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 0],
[1636032600.0, 0],
[1636119000.0, 0],
[1636205400.0, 0],
[1636291800.0, 0],
[1636378200.0, 0],
[1636464600.0, 0],
[1636551000.0, 0],
[1636637400.0, 0],
[1636723800.0, 0],
[1636810200.0, 0],
[1636896600.0, 0],
[1636983000.0, 0],
[1637069400.0, 0],
[1637155800.0, 0],
[1637242200.0, 0],
[1637328600.0, 0],
[1637415000.0, 0],
[1637501400.0, 0],
[1637587800.0, 0],
[1637674200.0, 0],
[1637760600.0, 0],
[1637847000.0, 0],
[1637933400.0, 0],
[1638019800.0, 0],
[1638106200.0, 0],
[1638192600.0, 0],
[1638279000.0, 0],
[1638365400.0, 0],
[1638451800.0, 0],
[1638538200.0, 0],
[1638624600.0, 0],
[1638711000.0, 0],
[1638797400.0, 0],
[1638883800.0, 0],
[1638970200.0, 0],
[1639056600.0, 0],
[1639143000.0, 0],
[1639229400.0, 0],
[1639315800.0, 0],
[1639402200.0, 0],
[1639488600.0, 0],
[1639575000.0, 0],
[1639661400.0, 0],
[1639747800.0, 0],
[1639834200.0, 0],
[1639920600.0, 0],
[1640007000.0, 0],
[1640093400.0, 0],
[1640179800.0, 0],
[1640266200.0, 0],
[1640352600.0, 0],
[1640439000.0, 0],
[1640525400.0, 0],
[1640611800.0, 0],
[1640698200.0, 0],
[1640784600.0, 0],
[1640871000.0, 0],
[1640957400.0, 0],
[1641043800.0, 0],
[1641130200.0, 0],
[1641216600.0, 0],
[1641303000.0, 0],
[1641389400.0, 0],
[1641475800.0, 0],
[1641562200.0, 0],
[1641648600.0, 0],
[1641735000.0, 0],
[1641821400.0, 0],
[1641907800.0, 0],
[1641994200.0, 0],
[1642080600.0, 0],
[1642167000.0, 0],
[1642253400.0, 0],
[1642339800.0, 0],
[1642426200.0, 0],
[1642512600.0, 0],
[1642599000.0, 0],
[1642685400.0, 0],
[1642771800.0, 1.2291394191759528],
[1642858200.0, 1.1264233955849128],
[1642944600.0, 1.073705588154379],
[1643031000.0, 0.8782766556567296],
[1643117400.0, 0.8324636724651658],
[1643203800.0, 0.7922383237161871],
[1643290200.0, 2.352317],
[1643376600.0, 1.097143],
[1643463000.0, 1.081215842857143],
[1643549400.0, 0.9809024714285715],
[1643635800.0, 0.9809024714285715],
[1643722200.0, 0.9809024714285715],
[1643808600.0, 0.9838851285714287],
[1643895000.0, 0.9705569571428573],
[1643981400.0, 0.8973060857142858],
[1644067800.0, 0.9265798428571429],
[1644154200.0, 0.8800977714285715],
[1644240600.0, 1.2467445285714287],
[1644327000.0, 1.0551982285714288],
[1644413400.0, 0.9119916142857144],
[1644499800.0, 0.7705634571428572],
[1644586200.0, 0.6748850285714286],
[1644672600.0, 0.6269020285714285],
[1644759000.0, 0.5653029428571429],
[1644845400.0, 0.4958876571428572],
[1644931800.0, 0.48645350000000004],
[1645018200.0, 0.4606129714285715],
[1645104600.0, 0.4215634571428572],
[1645191000.0, 0.4029391000000001],
[1645277400.0, 0.3928182857142858],
[1645363800.0, 0.4011087857142858],
[1645450200.0, 0.40767174285714286],
[1645536600.0, 0.4007483142857143],
[1645623000.0, 0.3895194714285714],
[1645709400.0, 0.38839700000000005],
[1645795800.0, 0.3934768142857144],
[1645882200.0, 0.3792778857142857],
[1645968600.0, 0.3851917571428571],
[1646055000.0, 0.3595693857142856],
[1646141400.0, 0.3703746],
[1646227800.0, 0.3764443428571429],
[1646314200.0, 0.38006347142857144],
[1646400600.0, 0.3934053857142858],
[1646487000.0, 0.4001005857142857],
[1646573400.0, 0.4034847714285715],
[1646659800.0, 0.36623528571428576],
[1646746200.0, 0.3427112142857143],
[1646832600.0, 0.3302897714285714],
[1646919000.0, 0.32104677142857146],
[1647005400.0, 0.3189690857142858],
[1647091800.0, 0.3053535285714286],
[1647178200.0, 0.2971379857142857],
[1647264600.0, 0.28976061428571437],
[1647351000.0, 0.27762425714285716],
[1647437400.0, 0.2801903571428571],
[1647523800.0, 0.2737416714285715],
[1647610200.0, 0.2811882285714286],
[1647696600.0, 0.2747778142857143],
[1647783000.0, 0.28095265714285717],
[1647869400.0, 0.2797334285714286],
[1647955800.0, 0.2860518],
[1648042200.0, 0.27929762857142865],
[1648128600.0, 0.2786565],
[1648215000.0, 0.27483901428571433],
[1648301400.0, 0.2726775571428572],
[1648387800.0, 0.25512737142857145],
[1648474200.0, 0.25622249999999996],
[1648560600.0, 0.2495641571428572],
[1648647000.0, 0.2494354285714286],
[1648733400.0, 0.24659758571428572],
