[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 0],
[1636032600.0, 0],
[1636119000.0, 0],
[1636205400.0, 0],
[1636291800.0, 0],
[1636378200.0, 0],
[1636464600.0, 0],
[1636551000.0, 0],
[1636637400.0, 0],
[1636723800.0, 0],
[1636810200.0, 0],
[1636896600.0, 0],
[1636983000.0, 0],
[1637069400.0, 0],
[1637155800.0, 0],
[1637242200.0, 0],
[1637328600.0, 0],
[1637415000.0, 0],
[1637501400.0, 0],
[1637587800.0, 0],
[1637674200.0, 0],
[1637760600.0, 0],
[1637847000.0, 0],
[1637933400.0, 0],
[1638019800.0, 0],
[1638106200.0, 0],
[1638192600.0, 0],
[1638279000.0, 0],
[1638365400.0, 0],
[1638451800.0, 0],
[1638538200.0, 0],
[1638624600.0, 0],
[1638711000.0, 0],
[1638797400.0, 0],
[1638883800.0, 0],
[1638970200.0, 0],
[1639056600.0, 0],
[1639143000.0, 0],
[1639229400.0, 0],
[1639315800.0, 0],
[1639402200.0, 0],
[1639488600.0, 0],
[1639575000.0, 0],
[1639661400.0, 0],
[1639747800.0, 0],
[1639834200.0, 0],
[1639920600.0, 0],
[1640007000.0, 0],
[1640093400.0, 0],
[1640179800.0, 0],
[1640266200.0, 0],
[1640352600.0, 0],
[1640439000.0, 0],
[1640525400.0, 0],
[1640611800.0, 0],
[1640698200.0, 0],
[1640784600.0, 0],
[1640871000.0, 0],
[1640957400.0, 0],
[1641043800.0, 0],
[1641130200.0, 0],
[1641216600.0, 0],
[1641303000.0, 0],
[1641389400.0, 0],
[1641475800.0, 0],
[1641562200.0, 0],
[1641648600.0, 0],
[1641735000.0, 0],
[1641821400.0, 0],
[1641907800.0, 0],
[1641994200.0, 0],
[1642080600.0, 0],
[1642167000.0, 0],
[1642253400.0, 0],
[1642339800.0, 0],
[1642426200.0, 0],
[1642512600.0, 0],
[1642599000.0, 0],
[1642685400.0, 0],
[1642771800.0, 18.206280000000003],
[1642858200.0, 15.71318],
[1642944600.0, 14.87366666666667],
[1643031000.0, 12.602579999999998],
[1643117400.0, 11.204103333333334],
[1643203800.0, 10.789810000000003],
[1643290200.0, 10.123103333333335],
[1643376600.0, 9.834993333333335],
[1643463000.0, 8.680373333333334],
[1643549400.0, 8.206403333333332],
[1643635800.0, 8.206403333333332],
[1643722200.0, 8.206403333333332],
[1643808600.0, 8.60307],
[1643895000.0, 9.177976666666668],
[1643981400.0, 9.230856666666666],
[1644067800.0, 8.890889999999999],
[1644154200.0, 8.896320000000001],
[1644240600.0, 8.660873333333333],
[1644327000.0, 8.310470000000002],
[1644413400.0, 8.127876666666667],
[1644499800.0, 7.9051833333333335],
[1644586200.0, 7.939173333333334],
[1644672600.0, 8.061476666666668],
[1644759000.0, 8.026673333333333],
[1644845400.0, 7.91026],
[1644931800.0, 7.540103333333334],
[1645018200.0, 7.487653333333333],
[1645104600.0, 7.586296666666667],
[1645191000.0, 7.602863333333334],
[1645277400.0, 7.59152],
[1645363800.0, 7.502766666666666],
[1645450200.0, 7.52901],
[1645536600.0, 7.406603333333334],
[1645623000.0, 7.500453333333333],
[1645709400.0, 7.51162],
[1645795800.0, 7.414560000000001],
[1645882200.0, 7.474136666666666],
[1645968600.0, 7.313663333333333],
[1646055000.0, 7.4178299999999995],
[1646141400.0, 7.421643333333335],
[1646227800.0, 7.514713333333334],
[1646314200.0, 7.594216666666668],
[1646400600.0, 7.745],
[1646487000.0, 8.04914],
[1646573400.0, 8.061066666666667],
[1646659800.0, 8.048423333333334],
[1646746200.0, 7.882273333333334],
[1646832600.0, 7.866116666666667],
[1646919000.0, 7.869620000000001],
[1647005400.0, 7.915690000000001],
[1647091800.0, 7.9801166666666665],
[1647178200.0, 8.0254],
[1647264600.0, 8.025276666666667],
[1647351000.0, 8.032876666666667],
[1647437400.0, 8.021743333333335],
[1647523800.0, 8.026646666666668],
[1647610200.0, 8.030726666666666],
[1647696600.0, 8.021606666666665],
[1647783000.0, 8.026056666666667],
[1647869400.0, 8.031286666666666],
[1647955800.0, 8.028186666666667],
[1648042200.0, 8.039556666666668],
[1648128600.0, 8.047586666666666],
[1648215000.0, 8.029886666666668],
[1648301400.0, 8.025063333333335],
[1648387800.0, 7.997716666666666],
[1648474200.0, 7.974519999999999],
[1648560600.0, 7.951583333333335],
[1648647000.0, 7.94041],
[1648733400.0, 7.86777],
