[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 0],
[1636032600.0, 0],
[1636119000.0, 0],
[1636205400.0, 0],
[1636291800.0, 0],
[1636378200.0, 0],
[1636464600.0, 0],
[1636551000.0, 0],
[1636637400.0, 0],
[1636723800.0, 0],
[1636810200.0, 0],
[1636896600.0, 0],
[1636983000.0, 0],
[1637069400.0, 0],
[1637155800.0, 0],
[1637242200.0, 0],
[1637328600.0, 0],
[1637415000.0, 0],
[1637501400.0, 0],
[1637587800.0, 0],
[1637674200.0, 0],
[1637760600.0, 0],
[1637847000.0, 0],
[1637933400.0, 0],
[1638019800.0, 0],
[1638106200.0, 0],
[1638192600.0, 0],
[1638279000.0, 0],
[1638365400.0, 0],
[1638451800.0, 0],
[1638538200.0, 0],
[1638624600.0, 0],
[1638711000.0, 0],
[1638797400.0, 0],
[1638883800.0, 0],
[1638970200.0, 0],
[1639056600.0, 0],
[1639143000.0, 0],
[1639229400.0, 0],
[1639315800.0, 0],
[1639402200.0, 0],
[1639488600.0, 0],
[1639575000.0, 0],
[1639661400.0, 0],
[1639747800.0, 0],
[1639834200.0, 0],
[1639920600.0, 0],
[1640007000.0, 0],
[1640093400.0, 0],
[1640179800.0, 0],
[1640266200.0, 0],
[1640352600.0, 0],
[1640439000.0, 0],
[1640525400.0, 0],
[1640611800.0, 0],
[1640698200.0, 0],
[1640784600.0, 0],
[1640871000.0, 0],
[1640957400.0, 0],
[1641043800.0, 0],
[1641130200.0, 0],
[1641216600.0, 0],
[1641303000.0, 0],
[1641389400.0, 0],
[1641475800.0, 0],
[1641562200.0, 0],
[1641648600.0, 0],
[1641735000.0, 0],
[1641821400.0, 0],
[1641907800.0, 0],
[1641994200.0, 0],
[1642080600.0, 0],
[1642167000.0, 0],
[1642253400.0, 0],
[1642339800.0, 0],
[1642426200.0, 0],
[1642512600.0, 0],
[1642599000.0, 0],
[1642685400.0, 0],
[1642771800.0, 112.04621660000001],
[1642858200.0, 111.89325779999999],
[1642944600.0, 100.38205565],
[1643031000.0, 90.63162315000001],
[1643117400.0, 86.0472009],
[1643203800.0, 83.81320005],
[1643290200.0, 85.0398941],
[1643376600.0, 85.14724564999999],
[1643463000.0, 77.2002345],
[1643549400.0, 72.92903469999999],
[1643635800.0, 72.92903469999999],
[1643722200.0, 72.92903469999999],
[1643808600.0, 74.69497695000001],
[1643895000.0, 75.4411535],
[1643981400.0, 73.09426085],
[1644067800.0, 73.96801015],
[1644154200.0, 74.20624085],
[1644240600.0, 74.1728869],
[1644327000.0, 71.659398],
[1644413400.0, 63.97539745],
[1644499800.0, 65.71463800000001],
[1644586200.0, 67.32644585],
[1644672600.0, 67.1228878],
[1644759000.0, 68.14581865],
[1644845400.0, 64.14082935],
[1644931800.0, 64.9728372],
[1645018200.0, 65.34222615],
[1645104600.0, 66.813513],
[1645191000.0, 65.4665363],
[1645277400.0, 64.42033425],
[1645363800.0, 65.23323105],
[1645450200.0, 65.23372755000001],
[1645536600.0, 64.994974],
[1645623000.0, 65.5522788],
[1645709400.0, 65.99671355],
[1645795800.0, 65.98969005],
[1645882200.0, 64.42320285],
[1645968600.0, 64.6435544],
[1646055000.0, 65.468497],
[1646141400.0, 64.91406285000001],
[1646227800.0, 65.00862910000001],
[1646314200.0, 65.89305494999999],
[1646400600.0, 67.30929629999999],
[1646487000.0, 69.17618085000001],
[1646573400.0, 69.25116365],
[1646659800.0, 69.00727319999999],
[1646746200.0, 68.902589],
[1646832600.0, 68.99105459999998],
[1646919000.0, 69.09492945],
[1647005400.0, 68.1830198],
[1647091800.0, 68.8902916],
[1647178200.0, 67.5035585],
[1647264600.0, 68.0179959],
[1647351000.0, 68.8677487],
[1647437400.0, 68.53286815],
[1647523800.0, 68.84624025],
[1647610200.0, 68.6172396],
[1647696600.0, 68.52484885000001],
[1647783000.0, 67.604919],
[1647869400.0, 68.12275715],
[1647955800.0, 67.38519200000002],
[1648042200.0, 67.2103116],
[1648128600.0, 66.8010271],
[1648215000.0, 66.81855635000001],
[1648301400.0, 66.35218880000001],
[1648387800.0, 65.70936320000001],
[1648474200.0, 64.58205965],
[1648560600.0, 64.69998315000001],
[1648647000.0, 64.35137295],
[1648733400.0, 64.5724717],
