[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 0],
[1636032600.0, 0],
[1636119000.0, 0],
[1636205400.0, 0],
[1636291800.0, 0],
[1636378200.0, 0],
[1636464600.0, 0],
[1636551000.0, 0],
[1636637400.0, 0],
[1636723800.0, 0],
[1636810200.0, 0],
[1636896600.0, 0],
[1636983000.0, 0],
[1637069400.0, 0],
[1637155800.0, 0],
[1637242200.0, 0],
[1637328600.0, 0],
[1637415000.0, 0],
[1637501400.0, 0],
[1637587800.0, 0],
[1637674200.0, 0],
[1637760600.0, 0],
[1637847000.0, 0],
[1637933400.0, 0],
[1638019800.0, 0],
[1638106200.0, 0],
[1638192600.0, 0],
[1638279000.0, 0],
[1638365400.0, 0],
[1638451800.0, 0],
[1638538200.0, 0],
[1638624600.0, 0],
[1638711000.0, 0],
[1638797400.0, 0],
[1638883800.0, 0],
[1638970200.0, 0],
[1639056600.0, 0],
[1639143000.0, 0],
[1639229400.0, 0],
[1639315800.0, 0],
[1639402200.0, 0],
[1639488600.0, 0],
[1639575000.0, 0],
[1639661400.0, 0],
[1639747800.0, 0],
[1639834200.0, 0],
[1639920600.0, 0],
[1640007000.0, 0],
[1640093400.0, 0],
[1640179800.0, 0],
[1640266200.0, 0],
[1640352600.0, 0],
[1640439000.0, 0],
[1640525400.0, 0],
[1640611800.0, 0],
[1640698200.0, 0],
[1640784600.0, 0],
[1640871000.0, 0],
[1640957400.0, 0],
[1641043800.0, 0],
[1641130200.0, 0],
[1641216600.0, 0],
[1641303000.0, 0],
[1641389400.0, 0],
[1641475800.0, 0],
[1641562200.0, 0],
[1641648600.0, 0],
[1641735000.0, 0],
[1641821400.0, 0],
[1641907800.0, 0],
[1641994200.0, 0],
[1642080600.0, 0],
[1642167000.0, 0],
[1642253400.0, 0],
[1642339800.0, 0],
[1642426200.0, 0],
[1642512600.0, 0],
[1642599000.0, 0],
[1642685400.0, 0],
[1642771800.0, 1.3142871],
[1642858200.0, 1.1555536571428573],
[1642944600.0, 1.0504161],
[1643031000.0, 0.9222148],
[1643117400.0, 0.8648660428571429],
[1643203800.0, 0.8429241857142858],
[1643290200.0, 0.7743781571428573],
[1643376600.0, 0.6990456714285714],
[1643463000.0, 0.6166683714285713],
[1643549400.0, 0.5656173285714285],
[1643635800.0, 0.5656173285714285],
[1643722200.0, 0.5656173285714285],
[1643808600.0, 0.5511444571428571],
[1643895000.0, 0.5820587857142857],
[1643981400.0, 0.5981937857142858],
[1644067800.0, 0.6211267285714286],
[1644154200.0, 0.6194905],
[1644240600.0, 0.621001842857143],
[1644327000.0, 0.6071547],
[1644413400.0, 0.6120109571428571],
[1644499800.0, 0.6229499142857142],
[1644586200.0, 0.6149581285714286],
[1644672600.0, 0.5877510571428572],
[1644759000.0, 0.5731637285714285],
[1644845400.0, 0.5463286285714285],
[1644931800.0, 0.5316074428571429],
[1645018200.0, 0.5013230285714286],
[1645104600.0, 0.4821992142857144],
[1645191000.0, 0.4716655428571429],
[1645277400.0, 0.46047648571428573],
[1645363800.0, 0.4387751857142858],
[1645450200.0, 0.4332169285714286],
[1645536600.0, 0.4304198714285715],
[1645623000.0, 0.4319794],
[1645709400.0, 0.4263103],
[1645795800.0, 0.41685262857142863],
[1645882200.0, 0.4119834],
[1645968600.0, 0.40369352857142854],
[1646055000.0, 0.4028673000000001],
[1646141400.0, 0.40003024285714284],
[1646227800.0, 0.4017337285714286],
[1646314200.0, 0.40739991428571426],
[1646400600.0, 0.42039315714285713],
[1646487000.0, 0.4362016857142858],
[1646573400.0, 0.4363390142857143],
[1646659800.0, 0.4391911714285715],
[1646746200.0, 0.41677541428571435],
[1646832600.0, 0.4008663857142857],
[1646919000.0, 0.39519129999999997],
[1647005400.0, 0.39056558571428573],
[1647091800.0, 0.38525955714285715],
[1647178200.0, 0.38076932857142864],
[1647264600.0, 0.3777836857142857],
[1647351000.0, 0.3762156000000001],
[1647437400.0, 0.3734154],
[1647523800.0, 0.36920847142857144],
[1647610200.0, 0.36635377142857145],
[1647696600.0, 0.3640446142857144],
[1647783000.0, 0.36076494285714295],
[1647869400.0, 0.3578177857142858],
[1647955800.0, 0.35622245714285716],
[1648042200.0, 0.3545772142857143],
[1648128600.0, 0.3537591285714286],
[1648215000.0, 0.3523442857142857],
[1648301400.0, 0.35115],
[1648387800.0, 0.34984677142857146],
[1648474200.0, 0.3489373571428572],
[1648560600.0, 0.3486875428571428],
[1648647000.0, 0.34771604285714286],
[1648733400.0, 0.34599837142857137],
