[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 0],
[1636032600.0, 0],
[1636119000.0, 0],
[1636205400.0, 0],
[1636291800.0, 0],
[1636378200.0, 0],
[1636464600.0, 0],
[1636551000.0, 0],
[1636637400.0, 0],
[1636723800.0, 0],
[1636810200.0, 0],
[1636896600.0, 0],
[1636983000.0, 0],
[1637069400.0, 0],
[1637155800.0, 0],
[1637242200.0, 0],
[1637328600.0, 0],
[1637415000.0, 0],
[1637501400.0, 0],
[1637587800.0, 0],
[1637674200.0, 0],
[1637760600.0, 0],
[1637847000.0, 0],
[1637933400.0, 0],
[1638019800.0, 0],
[1638106200.0, 0],
[1638192600.0, 0],
[1638279000.0, 0],
[1638365400.0, 0],
[1638451800.0, 0],
[1638538200.0, 0],
[1638624600.0, 0],
[1638711000.0, 0],
[1638797400.0, 0],
[1638883800.0, 0],
[1638970200.0, 0],
[1639056600.0, 0],
[1639143000.0, 0],
[1639229400.0, 0],
[1639315800.0, 0],
[1639402200.0, 0],
[1639488600.0, 0],
[1639575000.0, 0],
[1639661400.0, 0],
[1639747800.0, 0],
[1639834200.0, 0],
[1639920600.0, 0],
[1640007000.0, 0],
[1640093400.0, 0],
[1640179800.0, 0],
[1640266200.0, 0],
[1640352600.0, 0],
[1640439000.0, 0],
[1640525400.0, 0],
[1640611800.0, 0],
[1640698200.0, 0],
[1640784600.0, 0],
[1640871000.0, 0],
[1640957400.0, 0],
[1641043800.0, 0],
[1641130200.0, 0],
[1641216600.0, 0],
[1641303000.0, 0],
[1641389400.0, 0],
[1641475800.0, 0],
[1641562200.0, 0],
[1641648600.0, 0],
[1641735000.0, 0],
[1641821400.0, 0],
[1641907800.0, 0],
[1641994200.0, 0],
[1642080600.0, 0],
[1642167000.0, 0],
[1642253400.0, 0],
[1642339800.0, 0],
[1642426200.0, 0],
[1642512600.0, 0],
[1642599000.0, 0],
[1642685400.0, 0],
[1642771800.0, 3.80403016],
[1642858200.0, 8.210115559999998],
[1642944600.0, 7.24173234],
[1643031000.0, 6.26326666],
[1643117400.0, 5.697825100000001],
[1643203800.0, 5.53388658],
[1643290200.0, 5.13932122],
[1643376600.0, 4.91185866],
[1643463000.0, 4.51432388],
[1643549400.0, 4.1197665400000005],
[1643635800.0, 4.1197665400000005],
[1643722200.0, 4.1197665400000005],
[1643808600.0, 4.3032677],
[1643895000.0, 4.4206980399999996],
[1643981400.0, 4.49744044],
[1644067800.0, 4.344824400000001],
[1644154200.0, 4.27427814],
[1644240600.0, 4.1701521800000005],
[1644327000.0, 4.06733198],
[1644413400.0, 4.0244361],
[1644499800.0, 4.015100760000001],
[1644586200.0, 3.9972759800000004],
[1644672600.0, 4.0365825399999995],
[1644759000.0, 3.90434468],
[1644845400.0, 3.81562246],
[1644931800.0, 3.7124158400000007],
[1645018200.0, 3.7012741],
[1645104600.0, 3.6803070600000014],
[1645191000.0, 3.661122559999999],
[1645277400.0, 3.61967512],
[1645363800.0, 3.5766634],
[1645450200.0, 3.5524790600000005],
[1645536600.0, 3.5615642999999997],
[1645623000.0, 3.4912326],
[1645709400.0, 3.3925752399999993],
[1645795800.0, 3.3920845600000007],
[1645882200.0, 3.3490488400000005],
[1645968600.0, 3.28744528],
[1646055000.0, 3.2800085799999996],
[1646141400.0, 3.25335982],
[1646227800.0, 3.2157661400000004],
[1646314200.0, 3.1931056000000004],
[1646400600.0, 3.2432589],
[1646487000.0, 3.31273882],
[1646573400.0, 3.32254524],
[1646659800.0, 3.3140183399999996],
[1646746200.0, 3.1603955600000004],
[1646832600.0, 3.07989884],
[1646919000.0, 3.05786888],
[1647005400.0, 3.0361939600000007],
[1647091800.0, 3.0336418800000002],
[1647178200.0, 3.0271617400000004],
[1647264600.0, 3.02060304],
[1647351000.0, 3.0057627600000005],
[1647437400.0, 2.98621432],
[1647523800.0, 2.96707968],
[1647610200.0, 2.9574705200000007],
[1647696600.0, 2.9477246800000003],
[1647783000.0, 2.93447468],
[1647869400.0, 2.9268356],
[1647955800.0, 2.91619364],
[1648042200.0, 2.9047723],
[1648128600.0, 2.8909067000000004],
[1648215000.0, 2.88111418],
[1648301400.0, 2.87079544],
[1648387800.0, 2.85957482],
[1648474200.0, 2.8503146200000002],
[1648560600.0, 2.83898212],
[1648647000.0, 2.8304287999999995],
[1648733400.0, 2.8154686000000004],
