[1635773400.0, 0.07800000000000003],
[1635859800.0, 0.07800000000000003],
[1635946200.0, 0.08400000000000002],
[1636032600.0, 0.08300000000000002],
[1636119000.0, 0.08100000000000003],
[1636205400.0, 0.08300000000000003],
[1636291800.0, 0.07800000000000003],
[1636378200.0, 0.07700000000000001],
[1636464600.0, 0.07600000000000003],
[1636551000.0, 0.07300000000000002],
[1636637400.0, 0.07700000000000003],
[1636723800.0, 0.07400000000000002],
[1636810200.0, 0.07700000000000003],
[1636896600.0, 0.07300000000000002],
[1636983000.0, 0.07500000000000002],
[1637069400.0, 0.07800000000000003],
[1637155800.0, 0.07500000000000002],
[1637242200.0, 0.07800000000000003],
[1637328600.0, 0.07600000000000003],
[1637415000.0, 0.07500000000000002],
[1637501400.0, 0.07600000000000003],
[1637587800.0, 0.07300000000000002],
[1637674200.0, 0.07300000000000002],
[1637760600.0, 0.07500000000000002],
[1637847000.0, 0.08100000000000002],
[1637933400.0, 0.08400000000000003],
[1638019800.0, 0.07600000000000003],
[1638106200.0, 0.08500000000000002],
[1638192600.0, 0.08100000000000003],
[1638279000.0, 0.08200000000000003],
[1638365400.0, 0.08200000000000003],
[1638451800.0, 0.08100000000000003],
[1638538200.0, 0.07900000000000001],
[1638624600.0, 0.08000000000000003],
[1638711000.0, 0.08000000000000003],
[1638797400.0, 0.08200000000000003],
[1638883800.0, 0.08100000000000003],
[1638970200.0, 0.08000000000000003],
[1639056600.0, 0.08000000000000003],
[1639143000.0, 0.09300000000000003],
[1639229400.0, 0.08800000000000002],
[1639315800.0, 0.08800000000000001],
[1639402200.0, 0.08800000000000001],
[1639488600.0, 0.08600000000000001],
[1639575000.0, 0.08900000000000001],
[1639661400.0, 0.08900000000000001],
[1639747800.0, 0.08900000000000001],
[1639834200.0, 0.09200000000000001],
[1639920600.0, 0.09000000000000001],
[1640007000.0, 0.09000000000000001],
[1640093400.0, 0.09100000000000001],
[1640179800.0, 0.09000000000000001],
[1640266200.0, 0.09000000000000001],
[1640352600.0, 0.09000000000000001],
[1640439000.0, 0.09000000000000001],
[1640525400.0, 0.08800000000000001],
[1640611800.0, 0.08800000000000001],
[1640698200.0, 0.08900000000000001],
[1640784600.0, 0.08900000000000001],
[1640871000.0, 0.09100000000000001],
[1640957400.0, 0.09300000000000001],
[1641043800.0, 0.101],
[1641130200.0, 0.097],
[1641216600.0, 0.09700000000000002],
[1641303000.0, 0.09500000000000001],
[1641389400.0, 0.09400000000000001],
[1641475800.0, 0.09600000000000002],
[1641562200.0, 0.09600000000000002],
[1641648600.0, 0.09600000000000002],
[1641735000.0, 0.09600000000000002],
[1641821400.0, 0.09300000000000001],
[1641907800.0, 0.09500000000000001],
[1641994200.0, 0.09600000000000002],
[1642080600.0, 0.09800000000000002],
[1642167000.0, 0.09900000000000002],
[1642253400.0, 0.09600000000000002],
[1642339800.0, 0.09500000000000001],
[1642426200.0, 0.09700000000000002],
[1642512600.0, 0.09700000000000002],
[1642599000.0, 0.09600000000000002],
[1642685400.0, 0.09800000000000002],
[1642771800.0, 0.09800000000000002],
[1642858200.0, 0.09700000000000002],
[1642944600.0, 0.09700000000000002],
[1643031000.0, 0.09800000000000002],
[1643117400.0, 0.10100000000000002],
[1643203800.0, 0.10100000000000002],
[1643290200.0, 0.10500000000000002],
[1643376600.0, 0.10500000000000002],
[1643463000.0, 0.10700000000000001],
[1643549400.0, 0.10300000000000002],
[1643635800.0, 0.10300000000000002],
[1643722200.0, 0.10300000000000002],
[1643808600.0, 0.10400000000000001],
[1643895000.0, 0.10300000000000001],
[1643981400.0, 0.10500000000000001],
[1644067800.0, 0.10700000000000001],
[1644154200.0, 0.10200000000000002],
[1644240600.0, 0.10100000000000002],
[1644327000.0, 0.10600000000000001],
[1644413400.0, 0.10600000000000001],
[1644499800.0, 0.10700000000000003],
[1644586200.0, 0.10900000000000001],
[1644672600.0, 0.10700000000000001],
[1644759000.0, 0.10800000000000001],
[1644845400.0, 0.10900000000000001],
[1644931800.0, 0.11000000000000003],
[1645018200.0, 0.11300000000000002],
[1645104600.0, 0.11300000000000002],
[1645191000.0, 0.11300000000000002],
[1645277400.0, 0.11300000000000003],
[1645363800.0, 0.11300000000000002],
[1645450200.0, 0.11200000000000002],
[1645536600.0, 0.11100000000000002],
[1645623000.0, 0.11100000000000002],
[1645709400.0, 0.10900000000000003],
[1645795800.0, 0.11100000000000002],
[1645882200.0, 0.11300000000000003],
[1645968600.0, 0.11000000000000003],
[1646055000.0, 0.11500000000000002],
[1646141400.0, 0.11800000000000002],
[1646227800.0, 0.11800000000000002],
[1646314200.0, 0.11700000000000002],
[1646400600.0, 0.11800000000000002],
[1646487000.0, 0.12200000000000003],
[1646573400.0, 0.12000000000000004],
[1646659800.0, 0.11700000000000002],
[1646746200.0, 0.11900000000000002],
[1646832600.0, 0.11900000000000002],
[1646919000.0, 0.12100000000000002],
[1647005400.0, 0.12000000000000002],
[1647091800.0, 0.12100000000000002],
[1647178200.0, 0.12000000000000002],
[1647264600.0, 0.12000000000000002],
[1647351000.0, 0.12000000000000002],
[1647437400.0, 0.11900000000000002],
[1647523800.0, 0.12100000000000002],
[1647610200.0, 0.12000000000000002],
[1647696600.0, 0.12200000000000003],
[1647783000.0, 0.12300000000000003],
[1647869400.0, 0.11900000000000002],
[1647955800.0, 0.14600000000000005],
[1648042200.0, 0.13200000000000003],
[1648128600.0, 0.13000000000000003],
[1648215000.0, 0.13000000000000003],
[1648301400.0, 0.13700000000000004],
[1648387800.0, 0.13700000000000004],
[1648474200.0, 0.13500000000000004],
[1648560600.0, 0.13300000000000003],
[1648647000.0, 0.13200000000000003],
[1648733400.0, 0.13500000000000004],
[1648819800.0, 0.13300000000000003],
[1648906200.0, 0.13500000000000004],
[1648996200.0, 0.13300000000000003],
[1649082600.0, 0.13200000000000003],
[1649169000.0, 0.13400000000000004],
[1649255400.0, 0.12900000000000003],
[1649341800.0, 0.12900000000000003],
[1649428200.0, 0.12700000000000003],
[1649514600.0, 0.13000000000000003],
[1649601000.0, 0.13000000000000003],
[1649687400.0, 0.13000000000000003],
[1649773800.0, 0.13000000000000003],
[1649860200.0, 0.13000000000000003],
[1649946600.0, 0.13300000000000003],
[1650033000.0, 0.13200000000000003],
[1650119400.0, 0.13300000000000003],
[1650205800.0, 0.13400000000000004],
[1650292200.0, 0.139],
[1650378600.0, 0.14],
[1650465000.0, 0.14400000000000004],
[1650551400.0, 0.14400000000000004],
[1650637800.0, 0.14400000000000004],
[1650724200.0, 0.14000000000000004],
[1650810600.0, 0.14100000000000004],
[1650897000.0, 0.14800000000000005],
[1650983400.0, 0.15000000000000005],
[1651069800.0, 0.14300000000000004],
[1651156200.0, 0.13600000000000004],
[1651242600.0, 0.13500000000000004],
[1651329000.0, 0.13600000000000004],
[1651415400.0, 0.14000000000000004],
[1651501800.0, 0.14100000000000004],
[1651588200.0, 0.13600000000000004],
[1651674600.0, 0.13800000000000004],
[1651761000.0, 0.13300000000000003],
[1651847400.0, 0.13800000000000004],
[1651933800.0, 0.14100000000000004],
[1652020200.0, 0.13700000000000004],
[1652106600.0, 0.13900000000000004],
[1652193000.0, 0.13700000000000004],
[1652279400.0, 0.13500000000000004],
[1652365800.0, 0.13400000000000004],
[1652452200.0, 0.13500000000000004],
[1652538600.0, 0.13300000000000003],
[1652625000.0, 0.13200000000000003],
[1652711400.0, 0.13300000000000003],
[1652797800.0, 0.13200000000000003],
[1652884200.0, 0.13100000000000003],
[1652970600.0, 0.13300000000000003],
[1653057000.0, 0.137],
[1653143400.0, 0.13500000000000004],
[1653229800.0, 0.13800000000000004],
[1653316200.0, 0.13800000000000004],
[1653402600.0, 0.13900000000000004],
[1653489000.0, 0.13500000000000004],
[1653575400.0, 0.13800000000000004],
[1653661800.0, 0.13800000000000004],
[1653748200.0, 0.13700000000000004],
[1653834600.0, 0.13700000000000004],
[1653921000.0, 0.13800000000000004],
[1654007400.0, 0.13700000000000004],
[1654093800.0, 0.13700000000000004],
[1654180200.0, 0.15600000000000003],
[1654266600.0, 0.15300000000000002],
[1654353000.0, 0.15500000000000003],
[1654439400.0, 0.15200000000000002],
[1654525800.0, 0.16000000000000003],
[1654612200.0, 0.16000000000000003],
[1654698600.0, 0.16100000000000003],
[1654785000.0, 0.15500000000000003],
[1654871400.0, 0.15600000000000003],
[1654957800.0, 0.16600000000000004],
[1655044200.0, 0.16300000000000003],
[1655130600.0, 0.15900000000000003],
[1655217000.0, 0.16100000000000003],
[1655303400.0, 0.15300000000000002],
[1655389800.0, 0.16000000000000003],
