[1635773400.0, 1],
[1635859800.0, 1.0100000000000002],
[1635946200.0, 1.02],
[1636032600.0, 1.02],
[1636119000.0, 1.04],
[1636205400.0, 1.04],
[1636291800.0, 1.0100000000000002],
[1636378200.0, 1.0100000000000002],
[1636464600.0, 1.07],
[1636551000.0, 1.07],
[1636637400.0, 1.07],
[1636723800.0, 1.07],
[1636810200.0, 1.07],
[1636896600.0, 1.07],
[1636983000.0, 1.07],
[1637069400.0, 1.1],
[1637155800.0, 1.09],
[1637242200.0, 1.1400000000000001],
[1637328600.0, 1.3800000000000001],
[1637415000.0, 1.33],
[1637501400.0, 1.22],
[1637587800.0, 1.26],
[1637674200.0, 1.03],
[1637760600.0, 0.94],
[1637847000.0, 0.94],
[1637933400.0, 1.0799999999999998],
[1638019800.0, 1],
[1638106200.0, 1.04],
[1638192600.0, 0.9800000000000001],
[1638279000.0, 0.84],
[1638365400.0, 0.84],
[1638451800.0, 0.85],
[1638538200.0, 0.9],
[1638624600.0, 0.92],
[1638711000.0, 0.94],
[1638797400.0, 0.93],
[1638883800.0, 0.93],
[1638970200.0, 0.92],
[1639056600.0, 0.91],
[1639143000.0, 1.11],
[1639229400.0, 1.11],
[1639315800.0, 1.2300000000000002],
[1639402200.0, 1.2300000000000002],
[1639488600.0, 1.24],
[1639575000.0, 1.11],
[1639661400.0, 1.12],
[1639747800.0, 1.1300000000000001],
[1639834200.0, 1.1300000000000001],
[1639920600.0, 1.0799999999999998],
[1640007000.0, 1.03],
[1640093400.0, 1.05],
[1640179800.0, 1.07],
[1640266200.0, 1.22],
[1640352600.0, 1.31],
[1640439000.0, 1.33],
[1640525400.0, 1.33],
[1640611800.0, 1.25],
[1640698200.0, 1.2300000000000002],
[1640784600.0, 1.24],
[1640871000.0, 1.24],
[1640957400.0, 1.1400000000000001],
[1641043800.0, 1.2100000000000002],
[1641130200.0, 1.28],
[1641216600.0, 1.33],
[1641303000.0, 1.35],
[1641389400.0, 1.1800000000000002],
[1641475800.0, 1.29],
[1641562200.0, 1.32],
[1641648600.0, 1.32],
[1641735000.0, 1.33],
[1641821400.0, 1.3699999999999999],
[1641907800.0, 1.39],
[1641994200.0, 1.36],
[1642080600.0, 1.22],
[1642167000.0, 1.11],
[1642253400.0, 1.11],
[1642339800.0, 1.1],
[1642426200.0, 1.11],
[1642512600.0, 1.15],
[1642599000.0, 1.1300000000000001],
[1642685400.0, 1.09],
[1642771800.0, 1.0799999999999998],
[1642858200.0, 1.09],
[1642944600.0, 1.09],
[1643031000.0, 1.0799999999999998],
[1643117400.0, 1.0799999999999998],
[1643203800.0, 1.0799999999999998],
[1643290200.0, 1.0799999999999998],
[1643376600.0, 0.9800000000000001],
[1643463000.0, 1],
[1643549400.0, 1.06],
[1643635800.0, 1.06],
[1643722200.0, 1.06],
[1643808600.0, 1.06],
[1643895000.0, 1.06],
[1643981400.0, 1.04],
[1644067800.0, 1.07],
[1644154200.0, 1.07],
[1644240600.0, 1.07],
[1644327000.0, 1.04],
[1644413400.0, 1.05],
[1644499800.0, 1.07],
[1644586200.0, 1.07],
[1644672600.0, 1.07],
[1644759000.0, 1.07],
[1644845400.0, 1.07],
[1644931800.0, 1.02],
[1645018200.0, 1.0100000000000002],
[1645104600.0, 1.0100000000000002],
[1645191000.0, 1.11],
[1645277400.0, 1.1600000000000001],
[1645363800.0, 1.1600000000000001],
[1645450200.0, 1.05],
[1645536600.0, 1.22],
[1645623000.0, 1.0100000000000002],
[1645709400.0, 1.0100000000000002],
[1645795800.0, 0.9900000000000001],
[1645882200.0, 0.9900000000000001],
[1645968600.0, 1.1600000000000001],
[1646055000.0, 1.06],
[1646141400.0, 1],
[1646227800.0, 1],
[1646314200.0, 1.04],
[1646400600.0, 0.9700000000000001],
[1646487000.0, 1.03],
[1646573400.0, 1.0100000000000002],
[1646659800.0, 1.0100000000000002],
[1646746200.0, 0.9600000000000001],
[1646832600.0, 0.9700000000000001],
[1646919000.0, 0.9700000000000001],
[1647005400.0, 1.02],
[1647091800.0, 0.9700000000000001],
[1647178200.0, 1.02],
[1647264600.0, 1.02],
[1647351000.0, 1.02],
[1647437400.0, 0.95],
[1647523800.0, 0.94],
[1647610200.0, 1.02],
[1647696600.0, 1.0100000000000002],
[1647783000.0, 1],
[1647869400.0, 1.03],
[1647955800.0, 0.9800000000000001],
[1648042200.0, 1.03],
[1648128600.0, 1],
[1648215000.0, 1.0100000000000002],
[1648301400.0, 1.02],
[1648387800.0, 1.05],
[1648474200.0, 1.03],
[1648560600.0, 1.03],
[1648647000.0, 1.03],
[1648733400.0, 1.06],
[1648819800.0, 1.3],
[1648906200.0, 1.26],
[1648996200.0, 1.3],
[1649082600.0, 1.2300000000000002],
[1649169000.0, 1.17],
[1649255400.0, 1.0799999999999998],
[1649341800.0, 1.1400000000000001],
[1649428200.0, 1.19],
[1649514600.0, 1.1400000000000001],
[1649601000.0, 1.15],
[1649687400.0, 1.2100000000000002],
[1649773800.0, 1.06],
[1649860200.0, 1.1],
[1649946600.0, 1.05],
[1650033000.0, 1.15],
[1650119400.0, 1.03],
[1650205800.0, 1.04],
[1650292200.0, 1.06],
[1650378600.0, 1.06],
[1650465000.0, 1.15],
[1650551400.0, 1.15],
[1650637800.0, 1.15],
[1650724200.0, 1.03],
[1650810600.0, 1.05],
[1650897000.0, 1.07],
[1650983400.0, 1.02],
[1651069800.0, 1.03],
[1651156200.0, 0.9700000000000001],
[1651242600.0, 1.04],
[1651329000.0, 0.9700000000000001],
[1651415400.0, 0.9800000000000001],
[1651501800.0, 1.1],
[1651588200.0, 1.1300000000000001],
[1651674600.0, 1.05],
[1651761000.0, 0.9600000000000001],
[1651847400.0, 0.9600000000000001],
[1651933800.0, 0.9700000000000001],
[1652020200.0, 1.03],
[1652106600.0, 0.9700000000000001],
[1652193000.0, 0.9700000000000001],
[1652279400.0, 1.0100000000000002],
[1652365800.0, 1.03],
[1652452200.0, 0.9800000000000001],
[1652538600.0, 0.9900000000000001],
[1652625000.0, 0.9900000000000001],
[1652711400.0, 1],
[1652797800.0, 1.02],
[1652884200.0, 1.03],
[1652970600.0, 1.02],
[1653057000.0, 1.03],
[1653143400.0, 1.03],
[1653229800.0, 1.03],
[1653316200.0, 1.04],
[1653402600.0, 1.05],
[1653489000.0, 1.04],
[1653575400.0, 1.04],
[1653661800.0, 1.04],
[1653748200.0, 1.04],
[1653834600.0, 1.02],
[1653921000.0, 1.02],
[1654007400.0, 1.11],
[1654093800.0, 1.09],
[1654180200.0, 1.11],
[1654266600.0, 1.1600000000000001],
[1654353000.0, 1.02],
[1654439400.0, 1],
[1654525800.0, 1.0100000000000002],
[1654612200.0, 1.0100000000000002],
[1654698600.0, 1.02],
[1654785000.0, 1.04],
[1654871400.0, 1.04],
[1654957800.0, 1.03],
[1655044200.0, 1.03],
[1655130600.0, 1.03],
[1655217000.0, 1.02],
[1655303400.0, 1.02],
[1655389800.0, 1.0100000000000002],
[1655476200.0, 1.02],
[1655562600.0, 1.02],
[1655649000.0, 1.03],
[1655735400.0, 1.02],
[1655821800.0, 1.02],
[1655908200.0, 1.02],
[1655994600.0, 1.0100000000000002],
[1656081000.0, 0.95],
[1656167400.0, 0.94],
[1656253800.0, 0.9800000000000001],
[1656340200.0, 1.03],
[1656426600.0, 1.03],
[1656513000.0, 1.0100000000000002],
[1656599400.0, 1.02],
[1656685800.0, 1.09],
[1656772200.0, 1.1300000000000001],
[1656858600.0, 1.12],
[1656945000.0, 1.07],
[1657031400.0, 1.1],
[1657117800.0, 1.07],
[1657204200.0, 1.1],
[1657290600.0, 1.17],
[1657377000.0, 1.0100000000000002],
[1657463400.0, 1.04],
[1657549800.0, 1.11],
[1657636200.0, 1.11],
[1657722600.0, 1.1],
[1657809000.0, 1.09],
[1657895400.0, 1.15],
[1657981800.0, 1.09],
[1658068200.0, 1],
[1658154600.0, 1.0100000000000002],
[1658241000.0, 1.0100000000000002],
[1658327400.0, 1.0799999999999998],
[1658413800.0, 1.12],
[1658500200.0, 1.04],
[1658586600.0, 1.03],
[1658673000.0, 1.05],
[1658759400.0, 1.07],
[1658845800.0, 1.02],
[1658932200.0, 1.1],
[1659018600.0, 1.02],
[1659105000.0, 1.03],
[1659191400.0, 1.0100000000000002],
[1659277800.0, 1.0100000000000002],
[1659364200.0, 1.0100000000000002],
[1659450600.0, 1.02],
[1659537000.0, 1.04],
[1659623400.0, 1.1],
[1659709800.0, 1.11],
[1659796200.0, 1.04],
[1659882600.0, 1.11],
[1659969000.0, 1.11],
[1660055400.0, 1.1300000000000001],
[1660141800.0, 1.11],
[1660228200.0, 1.12],
[1660314600.0, 1.1800000000000002],
[1660401000.0, 1.1800000000000002],
[1660487400.0, 1.1800000000000002],
[1660573800.0, 1.1800000000000002],
[1660660200.0, 1.2300000000000002],
[1660746600.0, 1.31],
[1660833000.0, 1.2100000000000002],
[1660919400.0, 1.1400000000000001],
[1661005800.0, 1.1300000000000001],
[1661092200.0, 1.19],
[1661178600.0, 1.07],
[1661265000.0, 1.1300000000000001],
[1661351400.0, 0.93],
[1661437800.0, 1],
[1661524200.0, 0.9900000000000001],
[1661610600.0, 1.02],
[1661697000.0, 1.05],
[1661783400.0, 1.05],
[1661869800.0, 1.06],
[1661956200.0, 1.07],
[1662042600.0, 1.07],
[1662129000.0, 1.07],
[1662215400.0, 1.07],
[1662301800.0, 1.0799999999999998],
[1662388200.0, 1.07],
[1662474600.0, 1.07],
[1662561000.0, 1.03],
[1662647400.0, 1.07],
[1662733800.0, 1.11],
[1662820200.0, 1.1800000000000002],
[1662906600.0, 1.2100000000000002],
[1662993000.0, 1.1600000000000001],
[1663079400.0, 1.15],
[1663165800.0, 1.11],
[1663252200.0, 1.0799999999999998],
[1663338600.0, 1.12],
[1663425000.0, 1.1300000000000001],
[1663511400.0, 1.15],
[1663597800.0, 1.1300000000000001],
[1663684200.0, 1.11],
[1663770600.0, 1.1600000000000001],
[1663857000.0, 1.1600000000000001],
[1663943400.0, 1.1600000000000001],
[1664029800.0, 1.1600000000000001],
[1664116200.0, 1.2100000000000002],
[1664202600.0, 1.2100000000000002],
[1664289000.0, 1.24],
[1664375400.0, 1.31],
[1664461800.0, 1.27],
[1664548200.0, 1.29],
[1664634600.0, 1.28],
[1664717400.0, 1.4700000000000002],
[1664803800.0, 1.2300000000000002],
[1664890200.0, 1.15],
[1664976600.0, 1.19],
[1665063000.0, 1.2300000000000002],
[1665149400.0, 1.1300000000000001],
[1665235800.0, 1.1],
[1665322200.0, 1.12],
[1665408600.0, 1.1],
[1665495000.0, 1.1],
[1665581400.0, 1.11],
[1665667800.0, 1.12],
[1665754200.0, 1.12],
[1665840600.0, 1.12],
[1665927000.0, 1.1600000000000001],
[1666013400.0, 1.17],
[1666099800.0, 1.2100000000000002],
[1666186200.0, 1.12],
[1666272600.0, 1.09],
[1666359000.0, 1.1300000000000001],
[1666445400.0, 1.11],
[1666531800.0, 1.11],
[1666618200.0, 0.9800000000000001],
[1666704600.0, 1.02],
[1666791000.0, 1.09],
[1666877400.0, 1.07],
[1666963800.0, 1.05],
[1667050200.0, 1.15],
[1667136600.0, 1.17],
[1667223000.0, 1.17],
[1667309400.0, 1.12],
[1667395800.0, 1.15],
[1667482200.0, 1.1600000000000001],
[1667568600.0, 1.1600000000000001],
[1667655000.0, 1.11],
[1667741400.0, 1.1400000000000001],
[1667827800.0, 1.1600000000000001],
[1667914200.0, 1.15],
[1668000600.0, 1.15],
[1668087000.0, 1.1600000000000001],
[1668173400.0, 1.1600000000000001],
[1668259800.0, 1.17],
[1668346200.0, 1.1600000000000001],
[1668432600.0, 1.1600000000000001],
[1668519000.0, 1.1800000000000002],
[1668605400.0, 1.2100000000000002],
[1668691800.0, 1.24],
[1668778200.0, 1.2300000000000002],
[1668864600.0, 1.22],
[1668951000.0, 1.17],
[1669037400.0, 1.1600000000000001],
[1669123800.0, 1.15],
[1669210200.0, 1.15],
[1669296600.0, 1.1600000000000001],
[1669383000.0, 1.1600000000000001],
[1669469400.0, 1.15],
[1669555800.0, 1.1300000000000001],
[1669642200.0, 1.1400000000000001],
[1669728600.0, 1.15],
[1669815000.0, 1.1600000000000001],
[1669901400.0, 1.17],
[1669987800.0, 1.19],
[1670074200.0, 1.27],
[1670160600.0, 1.33],
[1670247000.0, 1.42],
[1670333400.0, 1.4500000000000002],
[1670419800.0, 1.75],
[1670506200.0, 1.8900000000000001],
[1670592600.0, 2.05],
[1670679000.0, 1.83],
[1670765400.0, 1.4100000000000001],
[1670851800.0, 1.24],
[1670938200.0, 1.22],
[1671024600.0, 1.19],
[1671111000.0, 1.1300000000000001],
[1671197400.0, 1.1300000000000001],
[1671283800.0, 1.1400000000000001],
[1671370200.0, 1.17],
[1671456600.0, 1.15],
[1671543000.0, 1.1400000000000001],
[1671629400.0, 1.17],
[1671715800.0, 1.17],
[1671802200.0, 1.1300000000000001],
[1671888600.0, 1.1600000000000001],
[1671975000.0, 1.1400000000000001],
[1672061400.0, 1.05],
[1672147800.0, 1.07],
[1672234200.0, 0.9700000000000001],
[1672320600.0, 0.9700000000000001],
[1672407000.0, 1.02],
