[1635773400.0, 0],
[1635859800.0, 0],
[1635946200.0, 2.2826556113647225],
[1636032600.0, 3.45],
[1636119000.0, 3.27],
[1636205400.0, 3.3300000000000005],
[1636291800.0, 3.2],
[1636378200.0, 3.2],
[1636464600.0, 3.42],
[1636551000.0, 3.27],
[1636637400.0, 3.27],
[1636723800.0, 3.35],
[1636810200.0, 3.36],
[1636896600.0, 3.61],
[1636983000.0, 3.87],
[1637069400.0, 3.7300000000000004],
[1637155800.0, 3.72],
[1637242200.0, 3.98],
[1637328600.0, 3.95],
[1637415000.0, 3.7300000000000004],
[1637501400.0, 3.6],
[1637587800.0, 3.3000000000000003],
[1637674200.0, 3.08],
[1637760600.0, 2.92],
[1637847000.0, 2.88],
[1637933400.0, 2.79],
[1638019800.0, 2.68],
[1638106200.0, 2.64],
[1638192600.0, 2.62],
[1638279000.0, 2.7100000000000004],
[1638365400.0, 2.66],
[1638451800.0, 2.66],
[1638538200.0, 2.95],
[1638624600.0, 3.0900000000000003],
[1638711000.0, 3.07],
[1638797400.0, 3.1],
[1638883800.0, 3.22],
[1638970200.0, 2.84],
[1639056600.0, 3.2600000000000002],
[1639143000.0, 3.22],
[1639229400.0, 3.36],
[1639315800.0, 3.3300000000000005],
[1639402200.0, 3.36],
[1639488600.0, 3.41],
[1639575000.0, 3.39],
[1639661400.0, 3.2600000000000002],
[1639747800.0, 3.29],
[1639834200.0, 3.21],
[1639920600.0, 3.27],
[1640007000.0, 3.24],
[1640093400.0, 3.24],
[1640179800.0, 3.2],
[1640266200.0, 3.12],
[1640352600.0, 3.2],
[1640439000.0, 3.16],
[1640525400.0, 3.17],
[1640611800.0, 3.2],
[1640698200.0, 3.03],
[1640784600.0, 3.02],
[1640871000.0, 3.0100000000000002],
[1640957400.0, 3.03],
[1641043800.0, 3.1],
[1641130200.0, 3.03],
[1641216600.0, 3.0400000000000005],
[1641303000.0, 3.07],
[1641389400.0, 2.99],
[1641475800.0, 3.03],
[1641562200.0, 3.12],
[1641648600.0, 3.2],
[1641735000.0, 3.1799999999999997],
[1641821400.0, 3.1799999999999997],
[1641907800.0, 3.08],
[1641994200.0, 3.1799999999999997],
[1642080600.0, 3.22],
[1642167000.0, 3.22],
[1642253400.0, 3.16],
[1642339800.0, 3.2600000000000002],
[1642426200.0, 3.1799999999999997],
[1642512600.0, 3.41],
[1642599000.0, 3.5],
[1642685400.0, 3.64],
[1642771800.0, 3.43],
[1642858200.0, 3.39],
[1642944600.0, 3.4699999999999998],
[1643031000.0, 3.5],
[1643117400.0, 3.2300000000000004],
[1643203800.0, 3.43],
[1643290200.0, 3.2300000000000004],
[1643376600.0, 3.2],
[1643463000.0, 3.17],
[1643549400.0, 3.22],
[1643635800.0, 3.22],
[1643722200.0, 3.22],
[1643808600.0, 3.16],
[1643895000.0, 3.06],
[1643981400.0, 2.98],
[1644067800.0, 2.91],
[1644154200.0, 2.93],
[1644240600.0, 2.93],
[1644327000.0, 2.87],
[1644413400.0, 2.9000000000000004],
[1644499800.0, 2.98],
[1644586200.0, 2.97],
[1644672600.0, 3.08],
[1644759000.0, 3.14],
[1644845400.0, 3.0500000000000003],
[1644931800.0, 2.7100000000000004],
[1645018200.0, 3.21],
[1645104600.0, 3.1900000000000004],
[1645191000.0, 3.1799999999999997],
[1645277400.0, 3.22],
[1645363800.0, 3.31],
[1645450200.0, 3.1799999999999997],
[1645536600.0, 3.1799999999999997],
[1645623000.0, 3.16],
[1645709400.0, 3.13],
[1645795800.0, 3.37],
[1645882200.0, 3.29],
[1645968600.0, 3.3300000000000005],
[1646055000.0, 3.31],
[1646141400.0, 3.3000000000000003],
[1646227800.0, 3.3000000000000003],
[1646314200.0, 3.45],
[1646400600.0, 3.3300000000000005],
[1646487000.0, 3.24],
[1646573400.0, 3.2800000000000002],
[1646659800.0, 3.3400000000000003],
[1646746200.0, 3.03],
[1646832600.0, 3.0100000000000002],
[1646919000.0, 3.02],
[1647005400.0, 3.07],
[1647091800.0, 3.16],
[1647178200.0, 3.21],
[1647264600.0, 3.1799999999999997],
[1647351000.0, 3.1900000000000004],
[1647437400.0, 3.2],
[1647523800.0, 3.2],
[1647610200.0, 3.21],
[1647696600.0, 3.22],
[1647783000.0, 3.2300000000000004],
[1647869400.0, 3.24],
[1647955800.0, 3.24],
[1648042200.0, 3.24],
[1648128600.0, 3.2300000000000004],
[1648215000.0, 3.2300000000000004],
[1648301400.0, 3.24],
[1648387800.0, 3.24],
[1648474200.0, 3.24],
[1648560600.0, 3.21],
[1648647000.0, 3.21],
[1648733400.0, 3.22],
[1648819800.0, 3.21],
[1648906200.0, 3.22],
[1648996200.0, 3.2300000000000004],
[1649082600.0, 3.24],
[1649169000.0, 3.58],
[1649255400.0, 3.66],
[1649341800.0, 3.71],
[1649428200.0, 3.5700000000000003],
[1649514600.0, 3.68],
[1649601000.0, 3.74],
[1649687400.0, 3.69],
[1649773800.0, 3.74],
[1649860200.0, 3.7800000000000002],
[1649946600.0, 3.71],
[1650033000.0, 3.76],
[1650119400.0, 3.71],
[1650205800.0, 3.7300000000000004],
[1650292200.0, 3.75],
[1650378600.0, 3.7700000000000005],
[1650465000.0, 3.9],
[1650551400.0, 3.9],
[1650637800.0, 3.9],
[1650724200.0, 3.9],
[1650810600.0, 3.9100000000000006],
