[1635773400.0, 394.9799999999999],
[1635859800.0, 394.9799999999999],
[1635946200.0, 394.9799999999999],
[1636032600.0, 394.9799999999999],
[1636119000.0, 431.9975999999999],
[1636205400.0, 431.9975999999999],
[1636291800.0, 431.9975999999999],
[1636378200.0, 431.9975999999999],
[1636464600.0, 395.99999999999994],
[1636551000.0, 395.99999999999994],
[1636637400.0, 395.99999999999994],
[1636723800.0, 360.0023999999999],
[1636810200.0, 360.0023999999999],
[1636896600.0, 690.0663999999999],
[1636983000.0, 690.0663999999999],
[1637069400.0, 690.0663999999999],
[1637155800.0, 690.0663999999999],
[1637242200.0, 699.2343999999998],
[1637328600.0, 699.2343999999998],
[1637415000.0, 699.2343999999998],
[1637501400.0, 728.2503999999999],
[1637587800.0, 715.588],
[1637674200.0, 649.0095999999999],
[1637760600.0, 693.3951999999999],
[1637847000.0, 693.3951999999999],
[1637933400.0, 688.6312],
[1638019800.0, 688.6312],
[1638106200.0, 649.0095999999999],
[1638192600.0, 649.0095999999999],
[1638279000.0, 689.5935999999999],
[1638365400.0, 689.5935999999999],
[1638451800.0, 689.5935999999999],
[1638538200.0, 689.5935999999999],
[1638624600.0, 689.5935999999999],
[1638711000.0, 682.0192],
[1638797400.0, 682.0192],
[1638883800.0, 693.3951999999999],
[1638970200.0, 693.3951999999999],
[1639056600.0, 693.3951999999999],
[1639143000.0, 405.50399999999996],
[1639229400.0, 405.50399999999996],
[1639315800.0, 405.50399999999996],
[1639402200.0, 405.50399999999996],
[1639488600.0, 405.50399999999996],
[1639575000.0, 405.50399999999996],
[1639661400.0, 965.6063999999999],
[1639747800.0, 965.6063999999999],
[1639834200.0, 965.6063999999999],
[1639920600.0, 960.8423999999999],
[1640007000.0, 960.8423999999999],
[1640093400.0, 921.2207999999998],
[1640179800.0, 921.2207999999998],
[1640266200.0, 560.1023999999999],
[1640352600.0, 560.1023999999999],
[1640439000.0, 560.1023999999999],
[1640525400.0, 560.1023999999999],
[1640611800.0, 560.1023999999999],
