[1635773400.0, 870.8058409999998],
[1635859800.0, 870.8058409999998],
[1635946200.0, 870.8058409999998],
[1636032600.0, 870.8058409999998],
[1636119000.0, 870.8058409999998],
[1636205400.0, 700.424045],
[1636291800.0, 680.633018],
[1636378200.0, 680.633018],
[1636464600.0, 626.465177],
[1636551000.0, 610.477901],
[1636637400.0, 610.477901],
[1636723800.0, 610.477901],
[1636810200.0, 610.477901],
[1636896600.0, 610.477901],
[1636983000.0, 610.477901],
[1637069400.0, 593.84447],
[1637155800.0, 593.84447],
[1637242200.0, 593.84447],
[1637328600.0, 593.84447],
[1637415000.0, 593.84447],
[1637501400.0, 593.84447],
[1637587800.0, 602.36126],
[1637674200.0, 610.879607],
[1637760600.0, 610.879607],
[1637847000.0, 610.879607],
[1637933400.0, 610.879607],
[1638019800.0, 610.879607],
[1638106200.0, 610.9854829999999],
[1638192600.0, 606.420359],
[1638279000.0, 596.8494800000001],
[1638365400.0, 596.8494800000001],
[1638451800.0, 596.8494800000001],
[1638538200.0, 596.8494800000001],
[1638624600.0, 906.4555009999999],
[1638711000.0, 881.898497],
[1638797400.0, 461.28896100000003],
[1638883800.0, 461.28896100000003],
[1638970200.0, 485.845965],
[1639056600.0, 510.28308000000004],
[1639143000.0, 498.06374400000004],
[1639229400.0, 510.28308000000004],
[1639315800.0, 510.28308000000004],
[1639402200.0, 528.193251],
[1639488600.0, 519.2389440000001],
[1639575000.0, 519.2389440000001],
[1639661400.0, 528.193251],
[1639747800.0, 528.193251],
[1639834200.0, 528.193251],
[1639920600.0, 528.193251],
[1640007000.0, 482.364513],
[1640093400.0, 490.263174],
[1640179800.0, 543.998358],
[1640266200.0, 543.998358],
[1640352600.0, 543.998358],
[1640439000.0, 543.998358],
[1640525400.0, 543.998358],
[1640611800.0, 543.998358],
[1640698200.0, 543.998358],
[1640784600.0, 501.011145],
[1640871000.0, 501.011145],
[1640957400.0, 993.751385],
[1641043800.0, 993.751385],
[1641130200.0, 993.751385],
[1641216600.0, 743.669474],
[1641303000.0, 743.669474],
[1641389400.0, 859.45213],
[1641475800.0, 801.560802],
[1641562200.0, 897.8680019999999],
[1641648600.0, 867.0848689999998],
[1641735000.0, 867.0848689999998],
[1641821400.0, 867.0848689999998],
[1641907800.0, 867.0848689999998],
[1641994200.0, 874.5051079999998],
[1642080600.0, 914.3753159999999],
[1642167000.0, 846.28418],
[1642253400.0, 846.28418],
[1642339800.0, 846.28418],
[1642426200.0, 846.28418],
[1642512600.0, 846.28418],
[1642599000.0, 846.28418],
[1642685400.0, 846.28418],
[1642771800.0, 562.779392],
[1642858200.0, 562.779392],
[1642944600.0, 562.779392],
[1643031000.0, 562.779392],
[1643117400.0, 562.779392],
[1643203800.0, 562.779392],
[1643290200.0, 562.779392],
[1643376600.0, 562.779392],
[1643463000.0, 562.779392],
[1643549400.0, 591.4818559999999],
[1643635800.0, 591.4818559999999],
[1643722200.0, 591.4818559999999],
[1643808600.0, 591.4818559999999],
[1643895000.0, 591.4818559999999],
[1643981400.0, 591.0003199999999],
[1644067800.0, 834.054357],
[1644154200.0, 203.183829],
[1644240600.0, 203.183829],
[1644327000.0, 203.183829],
[1644413400.0, 203.183829],
[1644499800.0, 203.183829],
[1644586200.0, 203.183829],
[1644672600.0, 752.533717],
[1644759000.0, 752.533717],
[1644845400.0, 752.533717],
[1644931800.0, 752.533717],
[1645018200.0, 752.533717],
[1645104600.0, 752.533717],
[1645191000.0, 266.702805],
[1645277400.0, 203.183829],
[1645363800.0, 203.183829],
[1645450200.0, 748.9246289999999],
[1645536600.0, 203.183829],
[1645623000.0, 203.183829],
[1645709400.0, 203.183829],
[1645795800.0, 748.9246289999999],
[1645882200.0, 748.9246289999999],
[1645968600.0, 748.9246289999999],
[1646055000.0, 217.98],
[1646141400.0, 217.98],
[1646227800.0, 765.583712],
[1646314200.0, 765.583712],
[1646400600.0, 765.583712],
[1646487000.0, 765.583712],
[1646573400.0, 765.583712],
[1646659800.0, 765.583712],
[1646746200.0, 765.583712],
[1646832600.0, 603.59792],
[1646919000.0, 603.59792],
[1647005400.0, 603.59792],
[1647091800.0, 603.59792],
[1647178200.0, 603.59792],
[1647264600.0, 217.98],
[1647351000.0, 217.98],
[1647437400.0, 217.98],
[1647523800.0, 217.98],
[1647610200.0, 217.98],
[1647696600.0, 217.98],
[1647783000.0, 764.649824],
[1647869400.0, 764.649824],
[1647955800.0, 764.649824],
[1648042200.0, 765.583712],
[1648128600.0, 750.4372159999999],
[1648215000.0, 750.4372159999999],
[1648301400.0, 750.4372159999999],
[1648387800.0, 750.4372159999999],
[1648474200.0, 750.4372159999999],
[1648560600.0, 750.4372159999999],
[1648647000.0, 750.4372159999999],
[1648733400.0, 750.4372159999999],
[1648819800.0, 750.4372159999999],
[1648906200.0, 202.83350399999995],
[1648996200.0, 202.83350399999995],
[1649082600.0, 202.83350399999995],
[1649169000.0, 202.83350399999995],
[1649255400.0, 202.83350399999995],
[1649341800.0, 202.83350399999995],
[1649428200.0, 202.83350399999995],
[1649514600.0, 202.83350399999995],
[1649601000.0, 202.83350399999995],
[1649687400.0, 202.83350399999995],
[1649773800.0, 202.83350399999995],
[1649860200.0, 202.83350399999995],
[1649946600.0, 202.83350399999995],
[1650033000.0, 202.83350399999995],
[1650119400.0, 202.83350399999995],
[1650205800.0, 202.83350399999995],
[1650292200.0, 202.83350399999995],
[1650378600.0, 202.83350399999995],
[1650465000.0, 202.83350399999995],
[1650551400.0, 202.83350399999995],
[1650637800.0, 202.83350399999995],
[1650724200.0, 249.11999999999998],
[1650810600.0, 249.11999999999998],
[1650897000.0, 249.11999999999998],
[1650983400.0, 249.11999999999998],
[1651069800.0, 249.11999999999998],
[1651156200.0, 249.11999999999998],
[1651242600.0, 249.11999999999998],
[1651329000.0, 249.11999999999998],
[1651415400.0, 249.11999999999998],
[1651501800.0, 249.11999999999998],
[1651588200.0, 249.11999999999998],
[1651674600.0, 249.11999999999998],
[1651761000.0, 301.480353],
[1651847400.0, 301.480353],
[1651933800.0, 301.480353],
[1652020200.0, 301.480353],
[1652106600.0, 301.480353],
[1652193000.0, 301.480353],
[1652279400.0, 301.480353],
[1652365800.0, 275.299398],
[1652452200.0, 275.299398],
[1652538600.0, 275.299398],
[1652625000.0, 275.299398],
[1652711400.0, 275.299398],
[1652797800.0, 275.299398],
[1652884200.0, 275.299398],
[1652970600.0, 275.299398],
[1653057000.0, 275.299398],
[1653143400.0, 275.299398],
[1653229800.0, 301.480353],
[1653316200.0, 301.480353],
[1653402600.0, 301.480353],
[1653489000.0, 301.480353],
[1653575400.0, 301.480353],
[1653661800.0, 301.480353],
[1653748200.0, 301.480353],
[1653834600.0, 301.480353],
[1653921000.0, 301.480353],
[1654007400.0, 301.480353],
[1654093800.0, 301.480353],
[1654180200.0, 301.480353],
[1654266600.0, 301.480353],
[1654353000.0, 217.97688599999998],
[1654439400.0, 217.97688599999998],
[1654525800.0, 217.97688599999998],
[1654612200.0, 217.97688599999998],
[1654698600.0, 217.97688599999998],
[1654785000.0, 217.97688599999998],
[1654871400.0, 217.97688599999998],
[1654957800.0, 217.97688599999998],
[1655044200.0, 217.97688599999998],
[1655130600.0, 217.97688599999998],
[1655217000.0, 217.97688599999998],
[1655303400.0, 217.97688599999998],
[1655389800.0, 217.97688599999998],
[1655476200.0, 217.97688599999998],
[1655562600.0, 217.97688599999998],
[1655649000.0, 217.97688599999998],
[1655735400.0, 217.97688599999998],
[1655821800.0, 217.97688599999998],
[1655908200.0, 217.97688599999998],
[1655994600.0, 217.97688599999998],
[1656081000.0, 217.97688599999998],
[1656167400.0, 217.97688599999998],
[1656253800.0, 217.97688599999998],
[1656340200.0, 217.97688599999998],
[1656426600.0, 217.97688599999998],
[1656513000.0, 217.97688599999998],
[1656599400.0, 217.97688599999998],
[1656685800.0, 217.97688599999998],
[1656772200.0, 217.97688599999998],
[1656858600.0, 217.97688599999998],
[1656945000.0, 0],
[1657031400.0, 0],
[1657117800.0, 0],
[1657204200.0, 0],
[1657290600.0, 0],
[1657377000.0, 0],
[1657463400.0, 0],
[1657549800.0, 0],
[1657636200.0, 0],
[1657722600.0, 0],
[1657809000.0, 0],
[1657895400.0, 0],
[1657981800.0, 0],
[1658068200.0, 0],
[1658154600.0, 0],
[1658241000.0, 0],
[1658327400.0, 0],
[1658413800.0, 0],
[1658500200.0, 0],
[1658586600.0, 0],
[1658673000.0, 0],
[1658759400.0, 0],
[1658845800.0, 0],
[1658932200.0, 0],
[1659018600.0, 0],
