[1635773400.0, 6.1000000000000005],
[1635859800.0, 7.32],
[1635946200.0, 6.1000000000000005],
[1636032600.0, 6.1000000000000005],
[1636119000.0, 6.1000000000000005],
[1636205400.0, 6.1000000000000005],
[1636291800.0, 6.26],
[1636378200.0, 6.26],
[1636464600.0, 6.26],
[1636551000.0, 6.26],
[1636637400.0, 6.26],
[1636723800.0, 7.44],
[1636810200.0, 7.44],
[1636896600.0, 7.44],
[1636983000.0, 9.34],
[1637069400.0, 7.3],
[1637155800.0, 7.290000000000001],
[1637242200.0, 7.3100000000000005],
[1637328600.0, 7.04],
[1637415000.0, 7.04],
[1637501400.0, 7.04],
[1637587800.0, 7.03],
[1637674200.0, 7.140000000000001],
[1637760600.0, 7.140000000000001],
[1637847000.0, 8.14],
[1637933400.0, 6.6000000000000005],
[1638019800.0, 7.04],
[1638106200.0, 7.04],
[1638192600.0, 7.03],
[1638279000.0, 7.03],
[1638365400.0, 9.03],
[1638451800.0, 7.03],
[1638538200.0, 7.03],
[1638624600.0, 6.78],
[1638711000.0, 7.290000000000001],
[1638797400.0, 7.05],
[1638883800.0, 7.05],
[1638970200.0, 7.04],
[1639056600.0, 7.04],
[1639143000.0, 7.04],
[1639229400.0, 7.04],
[1639315800.0, 6.79],
[1639402200.0, 7.04],
[1639488600.0, 7.04],
[1639575000.0, 6.760000000000001],
[1639661400.0, 6.760000000000001],
[1639747800.0, 7.05],
[1639834200.0, 7.05],
[1639920600.0, 7.05],
[1640007000.0, 7.05],
[1640093400.0, 7.04],
[1640179800.0, 7.3100000000000005],
[1640266200.0, 7.3100000000000005],
[1640352600.0, 7.04],
[1640439000.0, 7.3100000000000005],
[1640525400.0, 6.57],
[1640611800.0, 7.04],
[1640698200.0, 6.6000000000000005],
[1640784600.0, 6.6000000000000005],
[1640871000.0, 7.53],
[1640957400.0, 6.6000000000000005],
[1641043800.0, 6.61],
[1641130200.0, 6.75],
[1641216600.0, 6.32],
[1641303000.0, 6.28],
[1641389400.0, 8.44],
[1641475800.0, 6.75],
[1641562200.0, 6.58],
[1641648600.0, 7.45],
[1641735000.0, 6.2700000000000005],
[1641821400.0, 6.2700000000000005],
[1641907800.0, 6.300000000000001],
[1641994200.0, 6.25],
[1642080600.0, 6.31],
[1642167000.0, 6.31],
[1642253400.0, 6.31],
[1642339800.0, 6.32],
[1642426200.0, 6.330000000000001],
[1642512600.0, 6.25],
[1642599000.0, 6.300000000000001],
[1642685400.0, 6.26],
[1642771800.0, 6.26],
[1642858200.0, 5.49],
[1642944600.0, 6.31],
[1643031000.0, 6.32],
[1643117400.0, 6.32],
[1643203800.0, 6.64],
[1643290200.0, 6.6000000000000005],
[1643376600.0, 6.28],
[1643463000.0, 5.220000000000001],
[1643549400.0, 6.04],
[1643635800.0, 6.04],
[1643722200.0, 6.04],
[1643808600.0, 7.180000000000001],
[1643895000.0, 7.19],
[1643981400.0, 6.6000000000000005],
[1644067800.0, 7.180000000000001],
[1644154200.0, 6.58],
[1644240600.0, 7.180000000000001],
[1644327000.0, 6.03],
[1644413400.0, 6.04],
[1644499800.0, 6.04],
[1644586200.0, 6.03],
[1644672600.0, 6.0200000000000005],
[1644759000.0, 6.03],
[1644845400.0, 6.04],
[1644931800.0, 6.050000000000001],
[1645018200.0, 6.06],
[1645104600.0, 6.06],
[1645191000.0, 7.090000000000001],
[1645277400.0, 7.090000000000001],
[1645363800.0, 7.090000000000001],
[1645450200.0, 7.090000000000001],
[1645536600.0, 7.1000000000000005],
[1645623000.0, 7.11],
[1645709400.0, 7.11],
[1645795800.0, 7.1000000000000005],
[1645882200.0, 6.31],
[1645968600.0, 6.910000000000001],
[1646055000.0, 7.11],
[1646141400.0, 7.12],
[1646227800.0, 7.12],
[1646314200.0, 7.12],
[1646400600.0, 7.11],
[1646487000.0, 6.11],
[1646573400.0, 7.07],
[1646659800.0, 7.090000000000001],
[1646746200.0, 5.89],
[1646832600.0, 4.88],
[1646919000.0, 7.05],
[1647005400.0, 6.300000000000001],
[1647091800.0, 7.0200000000000005],
[1647178200.0, 6.680000000000001],
[1647264600.0, 5.76],
[1647351000.0, 6.24],
[1647437400.0, 6.23],
[1647523800.0, 8.799999999999999],
[1647610200.0, 5.8500000000000005],
[1647696600.0, 5.8500000000000005],
[1647783000.0, 6.59],
[1647869400.0, 6.8],
[1647955800.0, 5.84],
[1648042200.0, 5.830000000000001],
[1648128600.0, 5.830000000000001],
[1648215000.0, 6.9],
[1648301400.0, 6.89],
[1648387800.0, 6.42],
[1648474200.0, 7.010000000000001],
[1648560600.0, 6.910000000000001],
[1648647000.0, 6.89],
[1648733400.0, 6.9],
[1648819800.0, 6.44],
[1648906200.0, 6.2700000000000005],
[1648996200.0, 6.430000000000001],
[1649082600.0, 5.500000000000001],
[1649169000.0, 6.44],
[1649255400.0, 6.45],
[1649341800.0, 6.45],
[1649428200.0, 6.44],
[1649514600.0, 6.44],
[1649601000.0, 6.44],
[1649687400.0, 6.74],
[1649773800.0, 6.44],
[1649860200.0, 7.890000000000001],
[1649946600.0, 6.410000000000001],
[1650033000.0, 6.72],
[1650119400.0, 6.67],
[1650205800.0, 6.410000000000001],
[1650292200.0, 6.380000000000001],
[1650378600.0, 6.57],
[1650465000.0, 6.3500000000000005],
[1650551400.0, 6.3500000000000005],
[1650637800.0, 6.3500000000000005],
[1650724200.0, 7.7700000000000005],
[1650810600.0, 6.21],
[1650897000.0, 6.34],
[1650983400.0, 6.300000000000001],
[1651069800.0, 6.2],
[1651156200.0, 7.12],
[1651242600.0, 6.07],
[1651329000.0, 7.12],
[1651415400.0, 7.07],
[1651501800.0, 7.07],
[1651588200.0, 6.19],
[1651674600.0, 6.19],
[1651761000.0, 6.89],
[1651847400.0, 6.65],
[1651933800.0, 6.83],
[1652020200.0, 6.12],
[1652106600.0, 6.8500000000000005],
[1652193000.0, 6.09],
[1652279400.0, 5.79],
[1652365800.0, 6.0200000000000005],
[1652452200.0, 6.0200000000000005],
[1652538600.0, 6.01],
[1652625000.0, 6.01],
[1652711400.0, 6.0200000000000005],
[1652797800.0, 6.06],
[1652884200.0, 5.92],
[1652970600.0, 6.080000000000001],
[1653057000.0, 6.1000000000000005],
[1653143400.0, 6.1000000000000005],
[1653229800.0, 6.1000000000000005],
[1653316200.0, 6.460000000000001],
[1653402600.0, 6.01],
[1653489000.0, 5.66],
[1653575400.0, 5.6000000000000005],
[1653661800.0, 5.61],
[1653748200.0, 5.58],
[1653834600.0, 6.410000000000001],
[1653921000.0, 6.460000000000001],
[1654007400.0, 5.57],
[1654093800.0, 6.12],
[1654180200.0, 5.5200000000000005],
[1654266600.0, 5.99],
[1654353000.0, 5.44],
[1654439400.0, 6.47],
[1654525800.0, 5.43],
[1654612200.0, 5.4],
[1654698600.0, 5.84],
[1654785000.0, 5.81],
[1654871400.0, 5.28],
[1654957800.0, 4.76],
[1655044200.0, 4.75],
[1655130600.0, 4.74],
[1655217000.0, 4.73],
[1655303400.0, 4.76],
[1655389800.0, 4.76],
[1655476200.0, 5.76],
[1655562600.0, 5.720000000000001],
[1655649000.0, 4.54],
[1655735400.0, 4.5600000000000005],
[1655821800.0, 5.71],
[1655908200.0, 5.67],
[1655994600.0, 5.65],
[1656081000.0, 5.63],
[1656167400.0, 5.73],
[1656253800.0, 4.55],
[1656340200.0, 4.54],
[1656426600.0, 4.54],
[1656513000.0, 5.5200000000000005],
[1656599400.0, 5.53],
[1656685800.0, 5.5200000000000005],
[1656772200.0, 5.51],
[1656858600.0, 5.5200000000000005],
[1656945000.0, 5.53],
[1657031400.0, 5.37],
[1657117800.0, 5.37],
[1657204200.0, 5.36],
[1657290600.0, 5.34],
[1657377000.0, 5.34],
[1657463400.0, 5.34],
[1657549800.0, 5.3100000000000005],
[1657636200.0, 5.300000000000001],
[1657722600.0, 5.300000000000001],
[1657809000.0, 4.48],
[1657895400.0, 5.2700000000000005],
[1657981800.0, 5.0200000000000005],
[1658068200.0, 4.470000000000001],
[1658154600.0, 4.48],
[1658241000.0, 5.29],
[1658327400.0, 5.2700000000000005],
[1658413800.0, 4.48],
[1658500200.0, 4.48],
[1658586600.0, 5.2],
[1658673000.0, 5.170000000000001],
[1658759400.0, 4.890000000000001],
[1658845800.0, 4.88],
[1658932200.0, 5.28],
[1659018600.0, 5.28],
[1659105000.0, 6.07],
[1659191400.0, 5.970000000000001],
[1659277800.0, 5.98],
[1659364200.0, 5.970000000000001],
[1659450600.0, 5.91],
[1659537000.0, 6.07],
[1659623400.0, 6.07],
[1659709800.0, 4.890000000000001],
[1659796200.0, 5.61],
[1659882600.0, 5.8500000000000005],
[1659969000.0, 5.98],
[1660055400.0, 5.96],
[1660141800.0, 5.98],
[1660228200.0, 6.17],
[1660314600.0, 5.96],
[1660401000.0, 5.96],
[1660487400.0, 5.96],
[1660573800.0, 5.96],
[1660660200.0, 6.630000000000001],
[1660746600.0, 5.41],
[1660833000.0, 5.300000000000001],
[1660919400.0, 8.5],
[1661005800.0, 5.24],
[1661092200.0, 5.24],
[1661178600.0, 5.21],
[1661265000.0, 5.220000000000001],
[1661351400.0, 5.38],
[1661437800.0, 5.54],
[1661524200.0, 5.5200000000000005],
[1661610600.0, 5.3500000000000005],
[1661697000.0, 6.5200000000000005],
[1661783400.0, 5.36],
[1661869800.0, 5.2],
