[1604237400, 0.0436],
[1604323800, 0.1372],
[1604410200, 0.1135],
[1604496600, 0.1135],
[1604583000, 0.1135],
[1604669400, 0.1155],
[1604755800, 0.1155],
[1604842200, 0.1155],
[1604928600, 0.1392],
[1605015000, 0.0527],
[1605101400, 0.1392],
[1605187800, 0.0527],
[1605274200, 0.2393],
[1605360600, 0.0436],
[1605447000, 0.2453],
[1605533400, 0.1497],
[1605619800, 0.0517],
[1605706200, 0.2602],
[1605792600, 0.2556],
[1605879000, 0.1201],
[1605965400, 0.1201],
[1606051800, 0.0593],
[1606138200, 0.0482],
[1606224600, 0.1201],
[1606311000, 0.1201],
[1606397400, 0.0482],
[1606483800, 0.1248],
[1606570200, 0.1248],
[1606656600, 0.1248],
[1606743000, 0.1248],
[1606829400, 0.1248],
[1606915800, 0.0482],
[1607002200, 0.1392],
[1607088600, 0.1248],
[1607175000, 0.1248],
[1607261400, 0.1248],
[1607347800, 0.1248],
[1607434200, 0.064],
[1607520600, 0.1248],
[1607607000, 0.1248],
[1607693400, 0.1248],
[1607779800, 0.1451],
[1607866200, 0.0436],
[1607952600, 0.1451],
[1608039000, 0.0436],
[1608125400, 0.064],
[1608211800, 0.1451],
[1608298200, 0.0436],
[1608384600, 0.064],
[1608471000, 0.0482],
[1608557400, 0.0558],
[1608643800, 0.1307],
[1608730200, 0.1248],
[1608816600, 0.1248],
[1608903000, 0.1457],
[1608989400, 0.1457],
[1609075800, 0.1307],
[1609162200, 0.1248],
[1609248600, 0.1307],
[1609335000, 0.1307],
[1609421400, 0.064],
[1609507800, 0.064],
[1609594200, 0.062],
[1609680600, 0.062],
[1609767000, 0.1307],
[1609853400, 0.062],
[1609939800, 0.062],
[1610026200, 0.062],
[1610112600, 0.1248],
[1610199000, 0.1274],
[1610285400, 0.1274],
[1610371800, 0.1274],
[1610458200, 0.062],
[1610544600, 0.1274],
[1610631000, 0.1274],
[1610717400, 0.1274],
[1610803800, 0.1274],
[1610890200, 0.1274],
[1610976600, 0.1274],
[1611063000, 0.1274],
[1611149400, 0.1274],
[1611235800, 0.1274],
[1611322200, 0.1274],
[1611408600, 0.1274],
[1611495000, 0.1274],
[1611581400, 0.1274],
[1611667800, 0.1274],
[1611754200, 0.1274],
[1611840600, 0.1274],
[1611927000, 0.1274],
[1612013400, 0.1274],
[1612099800, 0.1274],
[1612186200, 0.1274],
[1612272600, 0.1274],
[1612359000, 0.1274],
[1612445400, 0.1274],
[1612531800, 0.1274],
[1612618200, 0.1274],
[1612704600, 0.1274],
[1612791000, 0.1274],
[1612877400, 0.1274],
[1612963800, 0.1274],
[1613050200, 0.1274],
[1613136600, 0.1274],
[1613223000, 0.1274],
[1613309400, 0.1248],
[1613395800, 0.1248],
[1613482200, 0.1397],
[1613568600, 0.1397],
[1613655000, 0.1248],
[1613741400, 0.1248],
[1613827800, 0.1248],
[1613914200, 0.1248],
[1614000600, 0.1248],
[1614087000, 0.1397],
[1614173400, 0.0573],
[1614259800, 0.0573],
[1614346200, 0.1228],
[1614432600, 0.1228],
[1614519000, 0.0573],
[1614605400, 0.0573],
[1614691800, 0.0573],
[1614778200, 0.0573],
[1614864600, 0.0573],
[1614951000, 0.0573],
[1615037400, 0.0573],
[1615123800, 0.0573],
[1615210200, 0.1181],
[1615296600, 0.1181],
[1615383000, 0.0435],
[1615469400, 0.0435],
[1615555800, 0.0516],
[1615642200, 0.1227],
[1615728600, 0.0526],
[1615815000, 0.118],
[1615901400, 0.1396],
[1615987800, 0.062],
[1616074200, 0.1228],
[1616160600, 0.1228],
[1616247000, 0.1228],
[1616333400, 0.062],
[1616419800, 0.1248],
[1616506200, 0.1171],
[1616592600, 0.1228],
[1616679000, 0.1181],
[1616765400, 0.0444],
[1616851800, 0.0573],
[1616938200, 0.1248],
[1617024600, 0.0155],
[1617111000, 0.1248],
[1617197400, 0.1248],
[1617283800, 0.1248],
[1617370200, 0.1248],
[1617456600, 0.1201],
[1617546600, 0.1248],
[1617633000, 0.1248],
[1617719400, 0.1248],
[1617805800, 0.1248],
[1617892200, 0.1248],
[1617978600, 0.1248],
[1618065000, 0.1253],
[1618151400, 0.0598],
[1618237800, 0.1253],
[1618324200, 0.1253],
[1618410600, 0.014],
[1618497000, 0.1253],
[1618583400, 0.0645],
[1618669800, 0.1253],
[1618756200, 0.0154],
[1618842600, 0.0154],
[1618929000, 0.0645],
[1619015400, 0.1253],
[1619101800, 0.1253],
[1619188200, 0.0645],
[1619274600, 0.0174],
[1619361000, 0.1253],
[1619447400, 0.0174],
[1619533800, 0.1253],
[1619620200, 0.1253],
[1619706600, 0.1253],
[1619793000, 0.1253],
[1619879400, 0.1253],
[1619965800, 0.0081],
[1620052200, 0.0174],
[1620138600, 0.016],
[1620225000, 0.016],
[1620311400, 0.016],
[1620397800, 0.016],
[1620484200, 0.016],
[1620570600, 0.0081],
[1620657000, 0.016],
[1620743400, 0.016],
[1620829800, 0.016],
[1620916200, 0.016],
[1621002600, 0.016],
[1621089000, 0.045],
[1621175400, 0.0081],
[1621261800, 0.0081],
[1621348200, 0.0081],
[1621434600, 0.0578],
[1621521000, 0.0532],
[1621607400, 0.016],
[1621693800, 0.016],
[1621780200, 0.045],
[1621866600, 0.0532],
[1621953000, 0.016],
[1622039400, 0.045],
[1622125800, 0.016],
[1622212200, 0.045],
[1622298600, 0.0532],
[1622385000, 0.0578],
[1622471400, 0.0578],
[1622557800, 0.0578],
[1622644200, 0.0578],
[1622730600, 0.016],
[1622817000, 0.016],
[1622903400, 0.0183],
[1622989800, 0.0578],
[1623076200, 0.0578],
[1623162600, 0.0578],
[1623249000, 0.0578],
[1623335400, 0.0578],
[1623421800, 0.016],
[1623508200, 0.0578],
[1623594600, 0.0578],
[1623681000, 0.0497],
[1623767400, 0.0578],
[1623853800, 0.0578],
[1623940200, 0.0578],
[1624026600, 0.0532],
[1624113000, 0.0532],
[1624199400, 0.0532],
[1624285800, 0.0532],
[1624372200, 0.045],
[1624458600, 0.045],
[1624545000, 0.0532],
[1624631400, 0.0532],
[1624717800, 0.045],
[1624804200, 0.0532],
[1624890600, 0.0532],
[1624977000, 0.0532],
[1625063400, 0.045],
[1625149800, 0.045],
[1625236200, 0.045],
[1625322600, 0.045],
[1625409000, 0.045],
[1625495400, 0.045],
[1625581800, 0.045],
[1625668200, 0.045],
[1625754600, 0.045],
[1625841000, 0.045],
[1625927400, 0.045],
[1626013800, 0.045],
[1626100200, 0.045],
[1626186600, 0.045],
[1626273000, 0.045],
[1626359400, 0.0445],
[1626445800, 0.0445],
[1626532200, 0.0492],
[1626618600, 0.0492],
[1626705000, 0.0492],
[1626791400, 0.0573],
[1626877800, 0.064],
[1626964200, 0.064],
[1627050600, 0.0492],
[1627137000, 0.064],
[1627223400, 0.064],
[1627309800, 0.064],
[1627396200, 0.064],
[1627482600, 0.064],
[1627569000, 0.0178],
[1627655400, 0.064],
[1627741800, 0.0492],
[1627828200, 0.0178],
[1627914600, 0.0492],
[1628001000, 0.0492],
[1628087400, 0.0492],
[1628173800, 0.0497],
[1628260200, 0.0178],
[1628346600, 0.045],
[1628433000, 0.0465],
[1628519400, 0.0465],
[1628605800, 0.0465],
[1628692200, 0.0465],
[1628778600, 0.0465],
[1628865000, 0.0465],
[1628951400, 0.0465],
[1629037800, 0.0465],
[1629124200, 0.0465],
[1629210600, 0.0512],
[1629297000, 0.0465],
[1629383400, 0.0512],
[1629469800, 0.0512],
[1629556200, 0.0593],
[1629642600, 0.064],
[1629729000, 0.064],
[1629815400, 0.064],
[1629901800, 0.064],
[1629988200, 0.064],
[1630074600, 0.0547],
[1630161000, 0.0547],
[1630247400, 0.0547],
[1630333800, 0.0465],
[1630420200, 0.0155],
[1630506600, 0.0547],
[1630593000, 0.0465],
[1630679400, 0.0465],
[1630765800, 0.0465],
[1630852200, 0.0445],
[1630938600, 0.0547],
[1631025000, 0.0547],
[1631111400, 0.0547],
[1631197800, 0.0547],
[1631284200, 0.0547],
[1631370600, 0.0547],
[1631457000, 0.0547],
[1631543400, 0.0547],
[1631629800, 0.0547],
[1631716200, 0.0547],
[1631802600, 0.0547],
[1631889000, 0.0547],
[1631975400, 0.0547],
[1632061800, 0.0547],
[1632148200, 0.0547],
[1632234600, 0.047],
[1632321000, 0.045],
[1632407400, 0.045],
[1632493800, 0.045],
[1632580200, 0.045],
[1632666600, 0.045],
[1632753000, 0.047],
[1632839400, 0.047],
[1632925800, 0.0183],
[1633012200, 0.045],
[1633098600, 0.0517],
[1633185000, 0.0517],
[1633267800, 0.0517],
[1633354200, 0.0517],
[1633440600, 0.0517],
[1633527000, 0.0517],
[1633613400, 0.0517],
[1633699800, 0.047],
[1633786200, 0.047],
[1633872600, 0.0183],
[1633959000, 0.0563],
[1634045400, 0.0563],
[1634131800, 0.061],
[1634218200, 0.061],
[1634304600, 0.0517],
[1634391000, 0.0517],
[1634477400, 0.0517],
[1634563800, 0.0183],
[1634650200, 0.0183],
[1634736600, 0.0517],
[1634823000, 0.0517],
[1634909400, 0.0183],
[1634995800, 0.0183],
[1635082200, 0.0183],
[1635168600, 0.0183],
[1635255000, 0.0183],
[1635341400, 0.0183],
[1635427800, 0.025],
[1635514200, 0.025],
[1635600600, 0.025],
[1635687000, 0.1171],
[1635773400, 0.0904],
[1635859800, 0.025],
[1635946200, 0.0296],
[1636032600, 0.0296],
[1636119000, 0.0296],
[1636205400, 0.0296],
[1636291800, 0.0296],
[1636378200, 0.0296],
[1636464600, 0.0296],
[1636551000, 0.0296],
[1636637400, 0.0904],
[1636723800, 0.023],
[1636810200, 0.023],
[1636896600, 0.023],
[1636983000, 0.0174],
[1637069400, 0.0183],
[1637155800, 0.0183],
[1637242200, 0.0183],
[1637328600, 0.0183],
[1637415000, 0.0183],
[1637501400, 0.0183],
[1637587800, 0.0183],
[1637674200, 0.0183],
[1637760600, 0.0183],
[1637847000, 0.0183],
[1637933400, 0.0203],
[1638019800, 0.0183],
[1638106200, 0.023],
[1638192600, 0.023],
[1638279000, 0.023],
[1638365400, 0.017],
[1638451800, 0.025],
[1638538200, 0.025],
[1638624600, 0.025],
[1638711000, 0.023],
[1638797400, 0.025],
[1638883800, 0.025],
[1638970200, 0.025],
[1639056600, 0.025],
[1639143000, 0.025],
[1639229400, 0.025],
[1639315800, 0.025],
[1639402200, 0.025],
[1639488600, 0.025],
[1639575000, 0.025],
[1639661400, 0.025],
[1639747800, 0.023],
[1639834200, 0.023],
[1639920600, 0.023],
[1640007000, 0.023],
[1640093400, 0.025],
[1640179800, 0.023],
[1640266200, 0.0791],
[1640352600, 0.0858],
[1640439000, 0.0791],
[1640525400, 0.0899],
[1640611800, 0.0853],
[1640698200, 0.0853],
[1640784600, 0.0853],
[1640871000, 0.0178],
[1640957400, 0.0853],
[1641043800, 0.0853],
[1641130200, 0.0853],
[1641216600, 0.112],
[1641303000, 0.112],
[1641389400, 0.0178],
[1641475800, 0.0245],
[1641562200, 0.0853],
[1641648600, 0.0178],
[1641735000, 0.0853],
[1641821400, 0.0853],
[1641907800, 0.0844],
[1641994200, 0.0844],
[1642080600, 0.0844],
[1642167000, 0.0844],
[1642253400, 0.0848],
[1642339800, 0.0858],
