[1666445400, 1],
[1666531800, 1],
[1666618200, 1],
[1666704600, 1],
[1666791000, 1],
[1666877400, 1],
[1666963800, 0.83],
[1667050200, 0.82],
[1667136600, 0.65],
[1667223000, 0.72],
[1667309400, 0.74],
[1667395800, 0.77],
[1667482200, 0.76],
[1667568600, 0.75],
[1667655000, 0.66],
[1667741400, 0.74],
[1667827800, 0.7],
[1667914200, 0.74],
[1668000600, 0.81],
[1668087000, 0.82],
[1668173400, 1.26],
[1668259800, 1.19],
[1668346200, 1.06],
[1668432600, 0.96],
[1668519000, 0.86],
[1668605400, 1.05],
[1668691800, 1.04],
[1668778200, 0.84],
[1668864600, 0.74],
[1668951000, 0.64],
[1669037400, 0.78],
[1669123800, 0.71],
[1669210200, 0.74],
[1669296600, 0.85],
[1669383000, 0.84],
[1669469400, 0.84],
[1669555800, 0.84],
[1669642200, 0.84],
[1669728600, 1.2],
[1669815000, 1.01],
[1669901400, 0.98],
[1669987800, 0.99],
[1670074200, 0.99],
[1670160600, 1.19],
[1670247000, 1.15],
[1670333400, 1.11],
[1670419800, 1.06],
[1670506200, 1.04],
[1670592600, 0.99],
[1670679000, 1.05],
[1670765400, 1.03],
[1670851800, 1.03],
[1670938200, 0.88],
[1671024600, 0.7],
[1671111000, 0.69],
[1671197400, 0.65],
[1671283800, 0.87],
[1671370200, 0.62],
[1671456600, 0.71],
[1671543000, 0.21],
[1671629400, 0.18],
[1671715800, 0.19],
[1671802200, 0.19],
[1671888600, 0.18],
[1671975000, 0.19],
[1672061400, 0.19],
[1672147800, 0.18],
[1672234200, 0.18],
[1672320600, 0.19],
[1672407000, 0.19],
[1672493400, 0.19],
[1672579800, 0.19],
[1672666200, 0.19],
[1672752600, 0.19],
[1672839000, 0.2],
[1672925400, 0.2],
[1673011800, 0.2],
[1673098200, 0.21],
[1673184600, 0.21],
[1673271000, 0.2],
[1673357400, 0.21],
[1673443800, 0.2],
[1673530200, 0.21],
[1673616600, 0.21],
[1673703000, 0.22],
[1673789400, 0.21],
[1673875800, 0.21],
[1673962200, 0.21],
[1674048600, 0.22],
[1674135000, 0.22],
[1674221400, 0.22],
[1674307800, 0.23],
[1674394200, 0.24],
[1674480600, 0.23],
[1674567000, 0.25],
[1674653400, 0.25],
[1674739800, 0.25],
[1674826200, 0.23],
[1674912600, 0.23],
[1674999000, 0.23],
[1675085400, 0.23],
[1675171800, 0.23],
[1675258200, 0.22],
[1675344600, 0.22],
[1675431000, 0.22],
[1675517400, 0.22],
[1675603800, 0.22],
[1675690200, 0.21],
[1675776600, 0.21],
[1675863000, 0.21],
[1675949400, 0.21],
[1676035800, 0.22],
[1676122200, 0.21],
[1676208600, 0.22],
[1676295000, 0.21],
[1676381400, 0.22],
[1676467800, 0.23],
[1676554200, 0.24],
[1676640600, 0.24],
[1676727000, 0.24],
