[1635773400.0, 0.14746543778801843],
[1635859800.0, 0.12442396313364054],
[1635946200.0, 0.14746543778801843],
[1636032600.0, 0.14746543778801843],
[1636119000.0, 0.14746543778801843],
[1636205400.0, 0.14746543778801843],
[1636291800.0, 0.14746543778801843],
[1636378200.0, 0.14746543778801843],
[1636464600.0, 0.14746543778801843],
[1636551000.0, 0.14746543778801843],
[1636637400.0, 0.14746543778801843],
[1636723800.0, 0.14746543778801843],
[1636810200.0, 0.14746543778801843],
[1636896600.0, 0.12442396313364054],
[1636983000.0, 0.14746543778801843],
[1637069400.0, 0.10138248847926266],
[1637155800.0, 0.14746543778801843],
[1637242200.0, 0.1705069124423963],
[1637328600.0, 0.1705069124423963],
[1637415000.0, 0.1705069124423963],
[1637501400.0, 0.1705069124423963],
[1637587800.0, 0.14746543778801843],
[1637674200.0, 0.14746543778801843],
[1637760600.0, 0.12442396313364054],
[1637847000.0, 0.2370711725550435],
[1637933400.0, 0.1705069124423963],
[1638019800.0, 0.14746543778801843],
[1638106200.0, 0.2370711725550435],
[1638192600.0, 0.2370711725550435],
[1638279000.0, 0.2601126472094214],
[1638365400.0, 0.2601126472094214],
[1638451800.0, 0.2601126472094214],
[1638538200.0, 0.2370711725550435],
[1638624600.0, 0.2370711725550435],
[1638711000.0, 0.2370711725550435],
[1638797400.0, 0.14746543778801843],
[1638883800.0, 0.14746543778801843],
[1638970200.0, 0.2601126472094214],
[1639056600.0, 0.14746543778801843],
[1639143000.0, 0.14746543778801843],
[1639229400.0, 0.2370711725550435],
[1639315800.0, 0.14746543778801843],
[1639402200.0, 0.14746543778801843],
[1639488600.0, 0.14746543778801843],
[1639575000.0, 0.14746543778801843],
[1639661400.0, 0.2601126472094214],
[1639747800.0, 0.2601126472094214],
[1639834200.0, 0.2601126472094214],
[1639920600.0, 0.2370711725550435],
[1640007000.0, 0.2601126472094214],
[1640093400.0, 0.2601126472094214],
[1640179800.0, 0.2370711725550435],
[1640266200.0, 0.2370711725550435],
[1640352600.0, 0.2370711725550435],
[1640439000.0, 0.2370711725550435],
[1640525400.0, 0.2370711725550435],
[1640611800.0, 0.2370711725550435],
[1640698200.0, 0.21402969790066562],
[1640784600.0, 0.19098822324628772],
[1640871000.0, 0.2370711725550435],
[1640957400.0, 0.19098822324628772],
[1641043800.0, 0.10138248847926266],
[1641130200.0, 0.2601126472094214],
[1641216600.0, 0.2601126472094214],
[1641303000.0, 0.2370711725550435],
